Attribute;Commodity;Period;Process;Region;Scenario;TimeSlice;Vintage;PV
VAR_FOut;SELC;2017;FTE-SIMECC17;REG1;conv_nonuc;SDW;2017;525.6
VAR_FOut;SELC;2018;FTE-SIMECC17;REG1;conv_nonuc;SDN;2018;16.749120000004
VAR_FOut;SELC;2018;FTE-SIMECC17;REG1;conv_nonuc;SNW;2018;97.7847632842318
VAR_FOut;SELC;2018;FTE-SIMECC17;REG1;conv_nonuc;WDN;2018;11.1660800000068
VAR_FOut;SELC;2018;FTE-SIMECC17;REG1;conv_nonuc;WNW;2018;602.469842189464
VAR_FOut;SELC;2019;FTE-SIMECC17;REG1;conv_nonuc;WDW;2017;941.363001263164
VAR_FOut;SELC;2019;FTE-SIMECC17;REG1;conv_nonuc;WNW;2017;1854.82899873684
VAR_FOut;SELC;2019;FTE-SIMECC17;REG1;conv_nonuc;SNW;2019;1384.14749810525
VAR_FOut;SELC;2020;FTE-SIMECC17;REG1;conv_nonuc;SNW;2018;4335.84959999999
VAR_FOut;SELC;2020;FTE-SIMECC17;REG1;conv_nonuc;WNW;2018;4335.84960000001
VAR_FOut;SELC;2021;FTE-SIMECC17;REG1;conv_nonuc;SNW;2017;3275.8671592965
VAR_FOut;SELC;2021;FTE-SIMECC17;REG1;conv_nonuc;WNW;2017;4296.379599531
VAR_FOut;SELC;2021;FTE-SIMECC17;REG1;conv_nonuc;SDW;2018;3061.53732070351
VAR_FOut;SELC;2021;FTE-SIMECC17;REG1;conv_nonuc;WDW;2021;2041.02488046901
VAR_FOut;SELC;2022;FTE-SIMECC17;REG1;conv_nonuc;SDW;2020;4809.74898453526
VAR_FOut;SELC;2024;FTE-SIMECC17;REG1;conv_nonuc;SDW;2023;5516.01164636535
VAR_FOut;SELC;2025;FTE-SIMECC17;REG1;conv_nonuc;WDN;2017;3677.3410975769
VAR_FOut;SELC;2026;FTE-SIMECC17;REG1;conv_nonuc;WDN;2020;3677.3410975769
VAR_FOut;SELC;2026;FTE-SIMECC17;REG1;conv_nonuc;SDN;2022;5516.01164636535
VAR_FOut;SELC;2026;FTE-SIMECC17;REG1;conv_nonuc;SDW;2022;5516.01164636535
VAR_FOut;SELC;2027;FTE-SIMECC17;REG1;conv_nonuc;SDW;2019;5516.01164636535
VAR_FOut;SELC;2027;FTE-SIMECC17;REG1;conv_nonuc;SDN;2021;5516.01164636535
VAR_FOut;SELC;2027;FTE-SIMECC17;REG1;conv_nonuc;WDW;2022;3677.3410975769
VAR_FOut;SELC;2028;FTE-SIMECC17;REG1;conv_nonuc;SDW;2017;5516.01164636535
VAR_FOut;SELC;2028;FTE-SIMECC17;REG1;conv_nonuc;SDN;2018;5516.01164636535
VAR_FOut;SELC;2028;FTE-SIMECC17;REG1;conv_nonuc;WDN;2024;3677.3410975769
VAR_FOut;SELC;2028;FTE-SIMECC17;REG1;conv_nonuc;WDW;2027;3677.3410975769
VAR_FOut;SELC;2029;FTE-SIMECC17;REG1;conv_nonuc;SDN;2024;5516.01164636535
VAR_FOut;SELC;2029;FTE-SIMECC17;REG1;conv_nonuc;WDW;2025;3677.3410975769
VAR_FOut;SELC;2029;FTE-SIMECC17;REG1;conv_nonuc;SDW;2026;5516.01164636535
VAR_FOut;SELC;2030;FTE-SIMECC17;REG1;conv_nonuc;SDW;2019;5516.01164636535
VAR_FOut;SELC;2030;FTE-SIMECC17;REG1;conv_nonuc;WDN;2019;10894.5484857917
VAR_FOut;SELC;2030;FTE-SIMECC17;REG1;conv_nonuc;WNW;2019;15994.7577839136
VAR_FOut;SELC;2030;FTE-SIMECC17;REG1;conv_nonuc;WDW;2028;3677.3410975769
VAR_FOut;SELC;2031;FTE-SIMECC17;REG1;conv_nonuc;SDN;2019;5516.01164636535
VAR_FOut;SELC;2031;FTE-SIMECC17;REG1;conv_nonuc;SDW;2019;5516.01164636535
VAR_FOut;SELC;2031;FTE-SIMECC17;REG1;conv_nonuc;WDN;2028;18386.7054878845
VAR_FOut;SELC;2031;FTE-SIMECC17;REG1;conv_nonuc;WDW;2030;4921.9106583007
VAR_FOut;SELC;2031;FTE-SIMECC17;REG1;conv_nonuc;WNW;2030;12928.4600584083
VAR_FOut;SELC;2032;FTE-SIMECC17;REG1;conv_nonuc;WDN;2022;18386.7054878845
VAR_FOut;SELC;2032;FTE-SIMECC17;REG1;conv_nonuc;SDW;2030;5516.01164636535
VAR_FOut;SELC;2032;FTE-SIMECC17;REG1;conv_nonuc;SNW;2030;3649.41292478551
VAR_FOut;SELC;2032;FTE-SIMECC17;REG1;conv_nonuc;WNW;2030;9862.16233290293
VAR_FOut;SELC;2033;FTE-SIMECC17;REG1;conv_nonuc;SDN;2025;5516.01164636535
VAR_FOut;SELC;2033;FTE-SIMECC17;REG1;conv_nonuc;WDN;2025;18386.7054878845
VAR_FOut;SELC;2033;FTE-SIMECC17;REG1;conv_nonuc;WDW;2025;18386.7054878845
VAR_FOut;SELC;2033;FTE-SIMECC17;REG1;conv_nonuc;SDW;2033;5516.01164636535
VAR_FOut;SELC;2034;FTE-SIMECC17;REG1;conv_nonuc;SDN;2025;5516.01164636535
VAR_FOut;SELC;2034;FTE-SIMECC17;REG1;conv_nonuc;SDW;2025;5516.01164636535
VAR_FOut;SELC;2034;FTE-SIMECC17;REG1;conv_nonuc;WDW;2025;18386.7054878845
VAR_FOut;SELC;2034;FTE-SIMECC17;REG1;conv_nonuc;WNW;2025;8438.92908820447
VAR_FOut;SELC;2035;FTE-SIMECC17;REG1;conv_nonuc;WDN;2020;18386.7054878845
VAR_FOut;SELC;2035;FTE-SIMECC17;REG1;conv_nonuc;SDW;2025;5516.01164636535
VAR_FOut;SELC;2035;FTE-SIMECC17;REG1;conv_nonuc;WDW;2025;18386.7054878845
VAR_FOut;SELC;2035;FTE-SIMECC17;REG1;conv_nonuc;WNW;2025;7112.27080748747
VAR_FOut;SELC;2036;FTE-SIMECC17;REG1;conv_nonuc;SDN;2019;5516.01164636535
VAR_FOut;SELC;2036;FTE-SIMECC17;REG1;conv_nonuc;SDW;2025;5516.01164636535
VAR_FOut;SELC;2036;FTE-SIMECC17;REG1;conv_nonuc;WDN;2025;18386.7054878845
VAR_FOut;SELC;2036;FTE-SIMECC17;REG1;conv_nonuc;WDW;2025;18386.7054878845
VAR_FOut;SELC;2036;FTE-SIMECC17;REG1;conv_nonuc;WNW;2025;6928.2639476464
VAR_FOut;SELC;2037;FTE-SIMECC17;REG1;conv_nonuc;SDN;2019;5516.01164636535
VAR_FOut;SELC;2037;FTE-SIMECC17;REG1;conv_nonuc;SDW;2019;5516.01164636535
