Attribute;Commodity;Period;Process;Region;Scenario;TimeSlice;Vintage;PV
VAR_FOut;ELCCO2;2017;ELCCC17;REG1;conv-nuc;SDN;2017;0.3148344
VAR_FOut;ELCCO2;2017;ELCCC17;REG1;conv-nuc;SDW;2017;0.3148344
VAR_FOut;ELCCO2;2017;ELCCC17;REG1;conv-nuc;SNN;2017;5.24724
VAR_FOut;ELCCO2;2017;ELCCC17;REG1;conv-nuc;SNW;2017;5.24723999999999
VAR_FOut;ELCCO2;2017;ELCCC17;REG1;conv-nuc;WDN;2017;0.209889600000003
VAR_FOut;ELCCO2;2017;ELCCC17;REG1;conv-nuc;WDW;2017;0.2098896
VAR_FOut;ELCCO2;2017;ELCCC17;REG1;conv-nuc;WNN;2017;5.24724
VAR_FOut;ELCCO2;2017;ELCCC17;REG1;conv-nuc;WNW;2017;5.24723999999998
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;conv-nuc;SDN;2017;0.545712959999998
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;conv-nuc;SDW;2017;0.545712959999998
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;conv-nuc;SNN;2017;5.24724
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;conv-nuc;SNW;2017;5.24724
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;conv-nuc;WDN;2017;0.363808639999998
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;conv-nuc;WDW;2017;0.363808639999998
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;conv-nuc;WNN;2017;5.24724
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;conv-nuc;WNW;2017;5.24724
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;conv-nuc;SDN;2018;0.4722516
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;conv-nuc;SDW;2018;0.4722516
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;conv-nuc;SNN;2018;7.87086
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;conv-nuc;SNW;2018;7.87086
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;conv-nuc;WDN;2018;0.3148344
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;conv-nuc;WDW;2018;0.3148344
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;conv-nuc;WNN;2018;7.87086
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;conv-nuc;WNW;2018;7.87086
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;conv-nuc;SDN;2017;1.477622784
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;conv-nuc;SDW;2017;1.477622784
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;conv-nuc;SNN;2017;5.24724
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;conv-nuc;SNW;2017;5.24724
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;conv-nuc;WDN;2017;0.985081856000002
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;conv-nuc;WDW;2017;0.985081856000002
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;conv-nuc;WNN;2017;5.24724
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;conv-nuc;WNW;2017;5.24724
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;conv-nuc;SDN;2018;0.4722516
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;conv-nuc;SDW;2018;0.4722516
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;conv-nuc;SNN;2018;7.87086
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;conv-nuc;SNW;2018;7.87086
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;conv-nuc;WDN;2018;0.3148344
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;conv-nuc;WDW;2018;0.3148344
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;conv-nuc;WNN;2018;7.87086
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;conv-nuc;WNW;2018;7.87086
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;conv-nuc;SDN;2019;0.7083774
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;conv-nuc;SDW;2019;0.7083774
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;conv-nuc;SNN;2019;11.80629
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;conv-nuc;SNW;2019;11.80629
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;conv-nuc;WDN;2019;0.4722516
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;conv-nuc;WDW;2019;0.4722516
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;conv-nuc;WNN;2019;11.80629
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;conv-nuc;WNW;2019;11.80629
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;conv-nuc;SDN;2017;0.3148344
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;conv-nuc;SDW;2017;0.3148344
