Attribute;Period;Process;Region;Scenario;Vintage;PV
VAR_Cap;2017;ELCCC17;REG1;conv-nuc;-;5
VAR_Cap;2018;ELCCC17;REG1;conv-nuc;-;12.5
VAR_Cap;2019;ELCCC17;REG1;conv-nuc;-;23.75
VAR_Cap;2020;ELCCC17;REG1;conv-nuc;-;40.625
VAR_Cap;2021;ELCCC17;REG1;conv-nuc;-;43.4434950387434
VAR_Cap;2022;ELCCC17;REG1;conv-nuc;-;44.3124125217461
VAR_Cap;2023;ELCCC17;REG1;conv-nuc;-;44.5959911410568
VAR_Cap;2024;ELCCC17;REG1;conv-nuc;-;50.3516428194551
VAR_Cap;2025;ELCCC17;REG1;conv-nuc;-;56.6947072627938
VAR_Cap;2026;ELCCC17;REG1;conv-nuc;-;62.9014080697688
VAR_Cap;2027;ELCCC17;REG1;conv-nuc;-;63.5743588767438
VAR_Cap;2028;ELCCC17;REG1;conv-nuc;-;64.174534828427
VAR_Cap;2029;ELCCC17;REG1;conv-nuc;-;64.2810517555792
VAR_Cap;2030;ELCCC17;REG1;conv-nuc;-;64.7105033611609
VAR_Cap;2031;ELCCC17;REG1;conv-nuc;-;64.7105033611609
VAR_Cap;2032;ELCCC17;REG1;conv-nuc;-;64.7105033611609
VAR_Cap;2033;ELCCC17;REG1;conv-nuc;-;64.7105033611609
VAR_Cap;2034;ELCCC17;REG1;conv-nuc;-;64.7105033611609
VAR_Cap;2035;ELCCC17;REG1;conv-nuc;-;64.7105033611609
VAR_Cap;2036;ELCCC17;REG1;conv-nuc;-;64.7105033611609
VAR_Cap;2037;ELCCC17;REG1;conv-nuc;-;64.7105033611609
VAR_Cap;2038;ELCCC17;REG1;conv-nuc;-;64.7105033611609
VAR_Cap;2039;ELCCC17;REG1;conv-nuc;-;64.7105033611609
VAR_Cap;2040;ELCCC17;REG1;conv-nuc;-;64.7105033611609
VAR_Cap;2041;ELCCC17;REG1;conv-nuc;-;64.7105033611609
VAR_Cap;2042;ELCCC17;REG1;conv-nuc;-;64.7105033611609
VAR_Cap;2043;ELCCC17;REG1;conv-nuc;-;64.7105033611609
VAR_Cap;2044;ELCCC17;REG1;conv-nuc;-;64.7105033611609
VAR_Cap;2045;ELCCC17;REG1;conv-nuc;-;64.7105033611609
VAR_Cap;2046;ELCCC17;REG1;conv-nuc;-;64.7105033611609
VAR_Cap;2047;ELCCC17;REG1;conv-nuc;-;59.710503361161
VAR_Cap;2048;ELCCC17;REG1;conv-nuc;-;52.210503361161
VAR_Cap;2049;ELCCC17;REG1;conv-nuc;-;40.960503361161
VAR_Cap;2050;ELCCC17;REG1;conv-nuc;-;24.085503361161
VAR_Cap;2051;ELCCC17;REG1;conv-nuc;-;21.2670083224175
VAR_Cap;2052;ELCCC17;REG1;conv-nuc;-;21.0491748633615
VAR_Cap;2053;ELCCC17;REG1;conv-nuc;-;20.8000312842764
VAR_Cap;2054;ELCCC17;REG1;conv-nuc;-;20.5965864659145
VAR_Cap;2055;ELCCC17;REG1;conv-nuc;-;20.4310455732032
VAR_Cap;2056;ELCCC17;REG1;conv-nuc;-;20.2655046804919
VAR_Cap;2057;ELCCC17;REG1;conv-nuc;-;20.1589877533397
VAR_Cap;2058;ELCCC17;REG1;conv-nuc;-;20.0524708261876
VAR_Cap;2059;ELCCC17;REG1;conv-nuc;-;19.9459538990354
VAR_Cap;2060;ELCCC17;REG1;conv-nuc;-;19.5165022934536
VAR_Cap;2061;ELCCC17;REG1;conv-nuc;-;19.5165022934536
VAR_Cap;2062;ELCCC17;REG1;conv-nuc;-;19.5165022934536
VAR_Cap;2063;ELCCC17;REG1;conv-nuc;-;19.5165022934536
VAR_Cap;2064;ELCCC17;REG1;conv-nuc;-;19.5165022934536
VAR_Cap;2065;ELCCC17;REG1;conv-nuc;-;19.5165022934536
VAR_Cap;2066;ELCCC17;REG1;conv-nuc;-;19.5165022934536
VAR_Cap;2067;ELCCC17;REG1;conv-nuc;-;19.5165022934536
VAR_Cap;2068;ELCCC17;REG1;conv-nuc;-;19.5165022934536
VAR_Cap;2069;ELCCC17;REG1;conv-nuc;-;19.5165022934536
VAR_Cap;2070;ELCCC17;REG1;conv-nuc;-;19.5165022934536
VAR_Cap;2071;ELCCC17;REG1;conv-nuc;-;19.5165022934536
VAR_Cap;2072;ELCCC17;REG1;conv-nuc;-;19.5165022934536
VAR_Cap;2073;ELCCC17;REG1;conv-nuc;-;19.5165022934536
VAR_Cap;2074;ELCCC17;REG1;conv-nuc;-;19.5165022934536
VAR_Cap;2075;ELCCC17;REG1;conv-nuc;-;19.5165022934536
VAR_Cap;2076;ELCCC17;REG1;conv-nuc;-;19.5165022934536
VAR_Cap;2077;ELCCC17;REG1;conv-nuc;-;19.5165022934536
VAR_Cap;2078;ELCCC17;REG1;conv-nuc;-;19.5165022934536
VAR_Cap;2079;ELCCC17;REG1;conv-nuc;-;19.5165022934536
VAR_Cap;2080;ELCCC17;REG1;conv-nuc;-;19.5165022934536
VAR_Cap;2081;ELCCC17;REG1;conv-nuc;-;19.5165022934536
VAR_Cap;2082;ELCCC17;REG1;conv-nuc;-;18.8654182695069
VAR_Cap;2083;ELCCC17;REG1;conv-nuc;-;18.8309832292813
VAR_Cap;2084;ELCCC17;REG1;conv-nuc;-;18.7965423703176
VAR_Cap;2085;ELCCC17;REG1;conv-nuc;-;18.7928341582686
VAR_Cap;2086;ELCCC17;REG1;conv-nuc;-;18.7929697607766
VAR_Cap;2087;ELCCC17;REG1;conv-nuc;-;18.7931053632846
VAR_Cap;2088;ELCCC17;REG1;conv-nuc;-;18.7965817827264
VAR_Cap;2089;ELCCC17;REG1;conv-nuc;-;18.7993330485068
VAR_Cap;2090;ELCCC17;REG1;conv-nuc;-;18.8020843142873
VAR_Cap;2091;ELCCC17;REG1;conv-nuc;-;18.8048355800677
VAR_Cap;2092;ELCCC17;REG1;conv-nuc;-;18.8075868458481
VAR_Cap;2093;ELCCC17;REG1;conv-nuc;-;18.8103381116284
VAR_Cap;2094;ELCCC17;REG1;conv-nuc;-;18.8130893774089
VAR_Cap;2095;ELCCC17;REG1;conv-nuc;-;18.8132249799168
VAR_Cap;2096;ELCCC17;REG1;conv-nuc;-;18.8132695900557
VAR_Cap;2097;ELCCC17;REG1;conv-nuc;-;18.8134961849328
VAR_Cap;2098;ELCCC17;REG1;conv-nuc;-;18.8136317874408
VAR_Cap;2099;ELCCC17;REG1;conv-nuc;-;18.8137673899488
VAR_Cap;2100;ELCCC17;REG1;conv-nuc;-;18.8139029924568
VAR_Cap;2017;ELCPVN17;REG1;conv-nuc;-;4
VAR_Cap;2018;ELCPVN17;REG1;conv-nuc;-;9.26666666666666
VAR_Cap;2019;ELCPVN17;REG1;conv-nuc;-;15.3066666666667
VAR_Cap;2020;ELCPVN17;REG1;conv-nuc;-;16.399839591555
VAR_Cap;2021;ELCPVN17;REG1;conv-nuc;-;22.3610232089632
VAR_Cap;2022;ELCPVN17;REG1;conv-nuc;-;28.666667792065
VAR_Cap;2023;ELCPVN17;REG1;conv-nuc;-;32.9346595245433
VAR_Cap;2024;ELCPVN17;REG1;conv-nuc;-;32.9346595245433
VAR_Cap;2025;ELCPVN17;REG1;conv-nuc;-;32.9346595245433
VAR_Cap;2026;ELCPVN17;REG1;conv-nuc;-;32.9346595245433
VAR_Cap;2027;ELCPVN17;REG1;conv-nuc;-;32.9346595245433
VAR_Cap;2028;ELCPVN17;REG1;conv-nuc;-;32.9346595245433
VAR_Cap;2029;ELCPVN17;REG1;conv-nuc;-;32.9346595245433
