Attribute;Commodity;Period;Process;Region;Scenario;TimeSlice;Vintage;PV
VAR_FOut;SELC;2047;FTE-SIMECC17;REG1;conv_nuc;WDW;2035;1699.50395975725
VAR_FOut;SELC;2048;FTE-SIMECC17;REG1;conv_nuc;SDN;2035;116.688280389288
VAR_FOut;SELC;2048;FTE-SIMECC17;REG1;conv_nuc;WDN;2035;77.7921869261821
VAR_FOut;SELC;2048;FTE-SIMECC17;REG1;conv_nuc;WDW;2035;2615.32428308825
VAR_FOut;SELC;2049;FTE-SIMECC17;REG1;conv_nuc;SDN;2035;1204.82090546647
VAR_FOut;SELC;2049;FTE-SIMECC17;REG1;conv_nuc;WDN;2035;803.213936977655
VAR_FOut;SELC;2049;FTE-SIMECC17;REG1;conv_nuc;WDW;2035;1900.90806500299
VAR_FOut;SELC;2050;FTE-SIMECC17;REG1;conv_nuc;SDN;2047;2721.4087482306
VAR_FOut;SELC;2051;FTE-SIMECC17;REG1;conv_nuc;WDN;2040;1698.20594984525
VAR_FOut;SELC;2053;FTE-SIMECC17;REG1;conv_nuc;WDN;2046;1495.74105783905
VAR_FOut;SELC;2054;FTE-SIMECC17;REG1;conv_nuc;WDW;2052;1305.408773733
VAR_FOut;SELC;2058;FTE-SIMECC17;REG1;conv_nuc;WDW;2045;1152.25506016144
VAR_FOut;SELC;2059;FTE-SIMECC17;REG1;conv_nuc;WDN;2027;1152.25506016147
VAR_FOut;SELC;2060;FTE-SIMECC17;REG1;conv_nuc;SDN;2027;1728.3825902422
VAR_FOut;SELC;2061;FTE-SIMECC17;REG1;conv_nuc;WDN;2027;1152.25506016147
VAR_FOut;SELC;2062;FTE-SIMECC17;REG1;conv_nuc;SDN;2027;1728.3825902422
VAR_FOut;SELC;2062;FTE-SIMECC17;REG1;conv_nuc;WDN;2027;1152.25506016147
VAR_FOut;SELC;2062;FTE-SIMECC17;REG1;conv_nuc;WDW;2027;1152.25506016147
VAR_FOut;SELC;2063;FTE-SIMECC17;REG1;conv_nuc;WDN;2058;1152.25506016147
VAR_FOut;SELC;2064;FTE-SIMECC17;REG1;conv_nuc;WDN;2058;1152.25506016147
VAR_FOut;SELC;2065;FTE-SIMECC17;REG1;conv_nuc;WDN;2058;588.872126840626
VAR_FOut;SELC;2066;FTE-SIMECC17;REG1;conv_nuc;WDN;2058;1152.25506016147
VAR_FOut;SELC;2067;FTE-SIMECC17;REG1;conv_nuc;WDN;2058;1152.25506016147
VAR_FOut;SELC;2068;FTE-SIMECC17;REG1;conv_nuc;WDN;2042;1152.25506016147
VAR_FOut;SELC;2069;FTE-SIMECC17;REG1;conv_nuc;WDN;2042;1152.25506016147
VAR_FOut;SELC;2070;FTE-SIMECC17;REG1;conv_nuc;SDN;2057;1728.38259024244
VAR_FOut;SELC;2070;FTE-SIMECC17;REG1;conv_nuc;WDN;2057;1152.25506016147
VAR_FOut;SELC;2070;FTE-SIMECC17;REG1;conv_nuc;WDW;2057;1152.25506016147
