Attribute;Commodity;Period;Process;Region;Scenario;TimeSlice;Vintage;PV
VAR_FOut;ELC;2017;ELCCC17;REG1;newtechs_nonuc2;SDN;2017;1839.6
VAR_FOut;ELC;2017;ELCCC17;REG1;newtechs_nonuc2;SDW;2017;1314
VAR_FOut;ELC;2017;ELCCC17;REG1;newtechs_nonuc2;SNN;2017;5518.8
VAR_FOut;ELC;2017;ELCCC17;REG1;newtechs_nonuc2;SNW;2017;4380
VAR_FOut;ELC;2017;ELCCC17;REG1;newtechs_nonuc2;WDN;2017;1839.6
VAR_FOut;ELC;2017;ELCCC17;REG1;newtechs_nonuc2;WDW;2017;2023.56
VAR_FOut;ELC;2017;ELCCC17;REG1;newtechs_nonuc2;WNN;2017;5256
VAR_FOut;ELC;2017;ELCCC17;REG1;newtechs_nonuc2;WNW;2017;5256
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc2;SDN;2017;1839.6
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc2;SDW;2017;1314
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc2;SNN;2017;5518.8
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc2;SNW;2017;4380
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc2;WDN;2017;1839.6
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc2;WDW;2017;2023.56
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc2;WNN;2017;5256
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc2;WNW;2017;5256
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc2;SDN;2018;2391.48
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc2;SDW;2018;1708.2
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc2;SNN;2018;8278.2
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc2;SNW;2018;6570
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc2;WDN;2018;2391.48
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc2;WDW;2018;2630.628
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc2;WNN;2018;7884
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc2;WNW;2018;7884
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc2;SDN;2017;1839.6
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc2;SDW;2017;1314
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc2;SNN;2017;5518.8
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc2;SNW;2017;4380
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc2;WDN;2017;1839.6
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc2;WDW;2017;2023.56
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc2;WNN;2017;5256
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc2;WNW;2017;5256
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc2;SDN;2018;2391.48
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc2;SDW;2018;1708.2
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc2;SNN;2018;8278.2
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc2;SNW;2018;6570
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc2;WDN;2018;2391.48
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc2;WDW;2018;2630.628
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc2;WNN;2018;7884
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc2;WNW;2018;7884
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc2;SDN;2019;3720.08000000001
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc2;SDW;2019;2657.19999999999
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc2;SNN;2019;12417.3
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc2;SNW;2019;9855
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc2;WDN;2019;3720.08000000001
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc2;WDW;2019;4092.08799999999
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc2;WNN;2019;11826
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc2;WNW;2019;11826
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc2;SDN;2017;1839.6
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc2;SDW;2017;1314
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc2;SNN;2017;5518.8
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc2;SNW;2017;4380
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc2;WDN;2017;1839.6
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc2;WDW;2017;2023.56
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc2;WNN;2017;5256
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc2;WNW;2017;5255.99999999999
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc2;SDN;2018;2391.48
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc2;SDW;2018;1708.2
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc2;SNN;2018;8278.2
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc2;SNW;2018;6570
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc2;WDN;2018;2391.48
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc2;WDW;2018;2630.628
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc2;WNN;2018;7884
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc2;WNW;2018;7884
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc2;SDN;2019;3035.34
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc2;SDW;2019;2168.1
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc2;SNN;2019;12417.3
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc2;SNW;2019;9855
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc2;WDN;2019;3035.34
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc2;WDW;2019;3338.874
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc2;WNN;2019;11826
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc2;WNW;2019;11826
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc2;SDN;2020;11683.504
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc2;SDW;2020;8345.36
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc2;SNN;2020;18625.95
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc2;SNW;2020;14782.5
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc2;WDN;2020;11683.504
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc2;WDW;2020;12851.8544
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc2;WNN;2020;17739
