Attribute;Commodity;Period;Process;Region;Scenario;TimeSlice;Vintage;PV
VAR_FIn;ELC;2013;DTPSELC;REG1;newtechs_nonuc;SDN;2013;54827.46
VAR_FIn;ELC;2013;DTPSELC;REG1;newtechs_nonuc;SDW;2013;54827.46
VAR_FIn;ELC;2013;DTPSELC;REG1;newtechs_nonuc;SNN;2013;182758.2
VAR_FIn;ELC;2013;DTPSELC;REG1;newtechs_nonuc;SNW;2013;182758.2
VAR_FIn;ELC;2013;DTPSELC;REG1;newtechs_nonuc;WDN;2013;36551.64
VAR_FIn;ELC;2013;DTPSELC;REG1;newtechs_nonuc;WDW;2013;36551.64
VAR_FIn;ELC;2013;DTPSELC;REG1;newtechs_nonuc;WNN;2013;182758.2
VAR_FIn;ELC;2013;DTPSELC;REG1;newtechs_nonuc;WNW;2013;182758.2
VAR_FIn;ELC;2014;DTPSELC;REG1;newtechs_nonuc;SDN;2014;52823.76
VAR_FIn;ELC;2014;DTPSELC;REG1;newtechs_nonuc;SDW;2014;52823.76
VAR_FIn;ELC;2014;DTPSELC;REG1;newtechs_nonuc;SNN;2014;176079.2
VAR_FIn;ELC;2014;DTPSELC;REG1;newtechs_nonuc;SNW;2014;176079.2
VAR_FIn;ELC;2014;DTPSELC;REG1;newtechs_nonuc;WDN;2014;35215.84
VAR_FIn;ELC;2014;DTPSELC;REG1;newtechs_nonuc;WDW;2014;35215.84
VAR_FIn;ELC;2014;DTPSELC;REG1;newtechs_nonuc;WNN;2014;176079.2
VAR_FIn;ELC;2014;DTPSELC;REG1;newtechs_nonuc;WNW;2014;176079.2
VAR_FIn;ELC;2015;DTPSELC;REG1;newtechs_nonuc;SDN;2015;52011.66
VAR_FIn;ELC;2015;DTPSELC;REG1;newtechs_nonuc;SDW;2015;52011.66
VAR_FIn;ELC;2015;DTPSELC;REG1;newtechs_nonuc;SNN;2015;173372.2
VAR_FIn;ELC;2015;DTPSELC;REG1;newtechs_nonuc;SNW;2015;173372.2
VAR_FIn;ELC;2015;DTPSELC;REG1;newtechs_nonuc;WDN;2015;34674.44
VAR_FIn;ELC;2015;DTPSELC;REG1;newtechs_nonuc;WDW;2015;34674.44
VAR_FIn;ELC;2015;DTPSELC;REG1;newtechs_nonuc;WNN;2015;173372.2
VAR_FIn;ELC;2015;DTPSELC;REG1;newtechs_nonuc;WNW;2015;173372.2
VAR_FIn;ELC;2016;DTPSELC;REG1;newtechs_nonuc;SDN;2016;52335.06
VAR_FIn;ELC;2016;DTPSELC;REG1;newtechs_nonuc;SDW;2016;52335.06
VAR_FIn;ELC;2016;DTPSELC;REG1;newtechs_nonuc;SNN;2016;174450.2
VAR_FIn;ELC;2016;DTPSELC;REG1;newtechs_nonuc;SNW;2016;174450.2
VAR_FIn;ELC;2016;DTPSELC;REG1;newtechs_nonuc;WDN;2016;34890.04
VAR_FIn;ELC;2016;DTPSELC;REG1;newtechs_nonuc;WDW;2016;34890.04
VAR_FIn;ELC;2016;DTPSELC;REG1;newtechs_nonuc;WNN;2016;174450.2
VAR_FIn;ELC;2016;DTPSELC;REG1;newtechs_nonuc;WNW;2016;174450.2
VAR_FIn;ELC;2017;DTPSELC;REG1;newtechs_nonuc;SDN;2017;53224.75602
VAR_FIn;ELC;2017;DTPSELC;REG1;newtechs_nonuc;SDW;2017;53224.75602
VAR_FIn;ELC;2017;DTPSELC;REG1;newtechs_nonuc;SNN;2017;177415.8534
VAR_FIn;ELC;2017;DTPSELC;REG1;newtechs_nonuc;SNW;2017;177415.8534
VAR_FIn;ELC;2017;DTPSELC;REG1;newtechs_nonuc;WDN;2017;35483.17068
VAR_FIn;ELC;2017;DTPSELC;REG1;newtechs_nonuc;WDW;2017;35483.17068
