Attribute;Commodity;Period;Process;Region;Scenario;TimeSlice;Vintage;PV
VAR_FOut;ELC;2017;ELCCC17;REG1;newtechs_nonuc;SDN;2017;1419.53532
VAR_FOut;ELC;2017;ELCCC17;REG1;newtechs_nonuc;SDW;2017;1013.9538
VAR_FOut;ELC;2017;ELCCC17;REG1;newtechs_nonuc;SNN;2017;1277.581788
VAR_FOut;ELC;2017;ELCCC17;REG1;newtechs_nonuc;SNW;2017;1013.9538
VAR_FOut;ELC;2017;ELCCC17;REG1;newtechs_nonuc;WDN;2017;1419.53532
VAR_FOut;ELC;2017;ELCCC17;REG1;newtechs_nonuc;WDW;2017;1216.74456
VAR_FOut;ELC;2017;ELCCC17;REG1;newtechs_nonuc;WNN;2017;1561.48885199999
VAR_FOut;ELC;2017;ELCCC17;REG1;newtechs_nonuc;WNW;2017;1216.74456
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;SDN;2017;1419.53531999997
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;SDW;2017;1013.9538
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;SNN;2017;1277.581788
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;SNW;2017;1013.9538
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;WDN;2017;1419.53532
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;WDW;2017;1216.74455999999
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;WNN;2017;1561.488852
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;WNW;2017;1216.74456
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;SDN;2017;1419.53532
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;SDW;2017;1013.95379999999
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;SNN;2017;1277.581788
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;SNW;2017;1013.9538
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;WDN;2017;1419.53532
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;WDW;2017;1216.74455999998
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;WNN;2017;1561.488852
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;WNW;2017;1216.74456
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;SDN;2017;1419.53532
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;SDW;2017;1013.95379999999
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;SNN;2017;1277.581788
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;SNW;2017;1013.9538
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;WDN;2017;1419.53532
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;WDW;2017;1216.74455999999
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;WNN;2017;1561.488852
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;WNW;2017;1216.74456
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;SDN;2017;1419.53532
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;SDW;2017;1013.9538
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;SNN;2017;1277.581788
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;SNW;2017;1013.9538
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;WDN;2017;1419.53532
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;WDW;2017;1216.74456
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;WNN;2017;1561.48885199999
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;WNW;2017;1216.74456
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;SDN;2021;3839.11997100658
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;SDW;2021;2742.22855071899
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;SNN;2021;3455.20797390592
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;SNW;2021;2742.22855071899
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;WDN;2021;3839.11997100658
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;WDW;2021;3290.67426086278
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;WNN;2021;4223.03196810724
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;WNW;2021;3290.67426086278
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;SDN;2017;1419.53532
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;SDW;2017;1013.9538
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;SNN;2017;1277.581788
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;SNW;2017;1013.9538
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;WDN;2017;1419.53532
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;WDW;2017;1216.74456
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;WNN;2017;1561.48885199999
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;WNW;2017;1216.74456
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;SDN;2021;3839.11997100658
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;SDW;2021;2742.22855071899
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;SNN;2021;3455.20797390592
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;SNW;2021;2742.22855071899
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;WDN;2021;3839.11997100658
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;WDW;2021;3290.67426086278
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;WNN;2021;4223.03196810724
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;WNW;2021;3290.67426086278
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;SDN;2022;4798.65105031356
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;SDW;2022;3427.60789308111
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;SNN;2022;4318.7859452822
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;SNW;2022;3427.60789308111
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;WDN;2022;4798.65105031356
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;WDW;2022;4113.12947169733
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;WNN;2022;5278.51615534491
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;WNW;2022;4113.12947169733
VAR_FOut;ELC;2023;ELCCC17;REG1;newtechs_nonuc;SDN;2017;1419.53532
VAR_FOut;ELC;2023;ELCCC17;REG1;newtechs_nonuc;SDW;2017;1013.9538
