Attribute;Commodity;Period;Process;Region;Scenario;TimeSlice;Vintage;PV
VAR_FOut;ELC;2017;ELCCC17;REG1;newtechs_nonuc;SDN;2017;1419.53532
VAR_FOut;ELC;2017;ELCCC17;REG1;newtechs_nonuc;SDW;2017;1013.9538
VAR_FOut;ELC;2017;ELCCC17;REG1;newtechs_nonuc;SNN;2017;1277.581788
VAR_FOut;ELC;2017;ELCCC17;REG1;newtechs_nonuc;SNW;2017;1013.9538
VAR_FOut;ELC;2017;ELCCC17;REG1;newtechs_nonuc;WDN;2017;1419.53532
VAR_FOut;ELC;2017;ELCCC17;REG1;newtechs_nonuc;WDW;2017;1216.74456
VAR_FOut;ELC;2017;ELCCC17;REG1;newtechs_nonuc;WNN;2017;1561.48885199999
VAR_FOut;ELC;2017;ELCCC17;REG1;newtechs_nonuc;WNW;2017;1216.74456
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;SDN;2017;1419.53531999999
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;SDW;2017;1013.9538
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;SNN;2017;1277.581788
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;SNW;2017;1013.9538
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;WDN;2017;1419.53532
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;WDW;2017;1216.74456
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;WNN;2017;1561.48885199999
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;WNW;2017;1216.74456
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;SDN;2017;1419.53531999999
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;SDW;2017;1013.9538
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;SNN;2017;1277.581788
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;SNW;2017;1013.9538
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;WDN;2017;1419.53532
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;WDW;2017;1216.74456
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;WNN;2017;1561.48885199999
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;WNW;2017;1216.74456
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;SDN;2017;1419.53532000002
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;SDW;2017;1013.9538
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;SNN;2017;1277.581788
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;SNW;2017;1013.9538
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;WDN;2017;1419.53532
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;WDW;2017;1216.74456
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;WNN;2017;1561.48885199999
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;WNW;2017;1216.74456
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;SDN;2017;1419.53532000003
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;SDW;2017;1013.9538
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;SNN;2017;1277.581788
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;SNW;2017;1013.9538
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;WDN;2017;1419.53532
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;WDW;2017;1216.74456
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;WNN;2017;1561.48885199999
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;WNW;2017;1216.74456
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;SDN;2017;1419.53532
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;SDW;2017;1013.9538
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;SNN;2017;1277.581788
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;SNW;2017;1013.9538
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;WDN;2017;1419.53532
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;WDW;2017;1216.74456
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;WNN;2017;1561.48885199999
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;WNW;2017;1216.74456
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;SDN;2022;5866.31631549719
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;SDW;2022;4190.22593964085
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;SNN;2022;5279.68468394747
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;SNW;2022;4190.22593964085
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;WDN;2022;5866.31631549719
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;WDW;2022;5028.27112756902
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;WNN;2022;6452.94794704691
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;WNW;2022;5028.27112756902
VAR_FOut;ELC;2023;ELCCC17;REG1;newtechs_nonuc;SDN;2017;1419.53532
VAR_FOut;ELC;2023;ELCCC17;REG1;newtechs_nonuc;SDW;2017;1013.9538
VAR_FOut;ELC;2023;ELCCC17;REG1;newtechs_nonuc;SNN;2017;1277.581788
VAR_FOut;ELC;2023;ELCCC17;REG1;newtechs_nonuc;SNW;2017;1013.9538
VAR_FOut;ELC;2023;ELCCC17;REG1;newtechs_nonuc;WDN;2017;1419.53532
VAR_FOut;ELC;2023;ELCCC17;REG1;newtechs_nonuc;WDW;2017;1216.74456
VAR_FOut;ELC;2023;ELCCC17;REG1;newtechs_nonuc;WNN;2017;1561.48885199999
VAR_FOut;ELC;2023;ELCCC17;REG1;newtechs_nonuc;WNW;2017;1216.74456
VAR_FOut;ELC;2023;ELCCC17;REG1;newtechs_nonuc;SDN;2022;5866.31631549719
VAR_FOut;ELC;2023;ELCCC17;REG1;newtechs_nonuc;SDW;2022;4190.22593964085
VAR_FOut;ELC;2023;ELCCC17;REG1;newtechs_nonuc;SNN;2022;5279.68468394747
VAR_FOut;ELC;2023;ELCCC17;REG1;newtechs_nonuc;SNW;2022;4190.22593964085
VAR_FOut;ELC;2023;ELCCC17;REG1;newtechs_nonuc;WDN;2022;5866.31631549719
VAR_FOut;ELC;2023;ELCCC17;REG1;newtechs_nonuc;WDW;2022;5028.27112756902
VAR_FOut;ELC;2023;ELCCC17;REG1;newtechs_nonuc;WNN;2022;6452.94794704691
VAR_FOut;ELC;2023;ELCCC17;REG1;newtechs_nonuc;WNW;2022;5028.27112756902
VAR_FOut;ELC;2023;ELCCC17;REG1;newtechs_nonuc;SDN;2023;8071.33691693187
VAR_FOut;ELC;2023;ELCCC17;REG1;newtechs_nonuc;SDW;2023;5765.24065495134
