Attribute;Commodity;Period;Process;Region;Scenario;TimeSlice;Vintage;PV
VAR_FOut;ELC;2017;ELCCC17;REG1;newtechs_nonuc;SDN;2017;15330
VAR_FOut;ELC;2017;ELCCC17;REG1;newtechs_nonuc;SDW;2017;6569.99999999999
VAR_FOut;ELC;2017;ELCCC17;REG1;newtechs_nonuc;SNN;2017;14103.6
VAR_FOut;ELC;2017;ELCCC17;REG1;newtechs_nonuc;SNW;2017;6044.4
VAR_FOut;ELC;2017;ELCCC17;REG1;newtechs_nonuc;WDN;2017;15330
VAR_FOut;ELC;2017;ELCCC17;REG1;newtechs_nonuc;WDW;2017;6570
VAR_FOut;ELC;2017;ELCCC17;REG1;newtechs_nonuc;WNN;2017;16556.4
VAR_FOut;ELC;2017;ELCCC17;REG1;newtechs_nonuc;WNW;2017;7095.59999999993
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;SDN;2017;15330
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;SDW;2017;6570
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;SNN;2017;14103.6
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;SNW;2017;6044.4
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;WDN;2017;15330
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;WDW;2017;6570
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;WNN;2017;16556.4
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;WNW;2017;7095.6
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;SDN;2018;15868.08375982
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;SDW;2018;6800.60732563713
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;SNN;2018;14598.6370590344
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;SNW;2018;6256.55873958616
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;WDN;2018;15868.08375982
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;WDW;2018;6800.60732563713
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;WNN;2018;17137.5304606056
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;WNW;2018;7344.65591168811
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;SDN;2017;15330
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;SDW;2017;6570
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;SNN;2017;14103.6
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;SNW;2017;6044.4
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;WDN;2017;15330
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;WDW;2017;6570
