Attribute;Commodity;Period;Process;Region;Scenario;TimeSlice;Vintage;PV
VAR_FOut;ELC;2017;ELCCC17;REG1;newtechs_nonuc;SDN;2017;15330
VAR_FOut;ELC;2017;ELCCC17;REG1;newtechs_nonuc;SDW;2017;6570
VAR_FOut;ELC;2017;ELCCC17;REG1;newtechs_nonuc;SNN;2017;14103.6
VAR_FOut;ELC;2017;ELCCC17;REG1;newtechs_nonuc;SNW;2017;6044.4
VAR_FOut;ELC;2017;ELCCC17;REG1;newtechs_nonuc;WDN;2017;15330
VAR_FOut;ELC;2017;ELCCC17;REG1;newtechs_nonuc;WDW;2017;6570
VAR_FOut;ELC;2017;ELCCC17;REG1;newtechs_nonuc;WNN;2017;16556.4
VAR_FOut;ELC;2017;ELCCC17;REG1;newtechs_nonuc;WNW;2017;7095.6
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;SDN;2017;15330
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;SDW;2017;6570
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;SNN;2017;14103.6
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;SNW;2017;6044.4
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;WDN;2017;15330
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;WDW;2017;6570
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;WNN;2017;16556.4
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;WNW;2017;7095.6
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;SDN;2018;16069.06005982
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;SDW;2018;6886.74002563715
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;SNN;2018;14783.5352550344
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;SNW;2018;6335.80082358618
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;WDN;2018;16069.06005982
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;WDW;2018;6886.74002563715
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;WNN;2018;17354.5848646056
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;WNW;2018;7437.67922768812
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;SDN;2017;13797
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;SDW;2017;5913
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;SNN;2017;12693.24
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;SNW;2017;5439.96
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;WDN;2017;13797
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;WDW;2017;5913
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;WNN;2017;14900.76
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;WNW;2017;6386.04
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;SDN;2018;14509.9302049941
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;SDW;2018;6218.54151642604
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;SNN;2018;13349.1357885946
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;SNW;2018;5721.05819511196
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;WDN;2018;14509.9302049941
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;WDW;2018;6218.54151642604
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;WNN;2018;15670.7246213936
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;WNW;2018;6716.02483774013
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;SDN;2019;6436.39846464588
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;SDW;2019;2758.45648484823
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;SNN;2019;5921.48658747421
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;SNW;2019;2537.77996606038
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;WDN;2019;6436.39846464588
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;WDW;2019;2758.45648484823
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;WNN;2019;6951.31034181755
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;WNW;2019;2979.13300363609
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;SDN;2017;13797
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;SDW;2017;5913
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;SNN;2017;12693.24
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;SNW;2017;5439.96
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;WDN;2017;13797
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;WDW;2017;5913
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;WNN;2017;14900.76
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;WNW;2017;6386.04
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;SDN;2018;14462.154053838
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;SDW;2018;6198.06602307343
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;SNN;2018;13305.181729531
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;SNW;2018;5702.22074122756
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;WDN;2018;14462.154053838
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;WDW;2018;6198.06602307343
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;WNN;2018;15619.1263781451
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;WNW;2018;6693.91130491931
