Attribute;Commodity;Period;Process;Region;Scenario;TimeSlice;Vintage;PV
VAR_FOut;ELCCO2;2017;ELCCC17;REG1;newtechs_nonuc;SDN;2017;1.55338286207389
VAR_FOut;ELCCO2;2017;ELCCC17;REG1;newtechs_nonuc;SDW;2017;1.55338286207389
VAR_FOut;ELCCO2;2017;ELCCC17;REG1;newtechs_nonuc;SNN;2017;5.24724
VAR_FOut;ELCCO2;2017;ELCCC17;REG1;newtechs_nonuc;SNW;2017;5.24724000000001
VAR_FOut;ELCCO2;2017;ELCCC17;REG1;newtechs_nonuc;WDN;2017;1.03558857471593
VAR_FOut;ELCCO2;2017;ELCCC17;REG1;newtechs_nonuc;WDW;2017;1.03558857471593
VAR_FOut;ELCCO2;2017;ELCCC17;REG1;newtechs_nonuc;WNN;2017;5.24724
VAR_FOut;ELCCO2;2017;ELCCC17;REG1;newtechs_nonuc;WNW;2017;5.24724
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nonuc;SDN;2017;1.574172
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nonuc;SDW;2017;1.574172
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nonuc;SNN;2017;5.24724
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nonuc;SNW;2017;5.24724
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nonuc;WDN;2017;1.049448
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nonuc;WDW;2017;1.049448
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nonuc;WNN;2017;5.24724
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nonuc;WNW;2017;5.24724
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nonuc;SDN;2018;1.17776040690345
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nonuc;SDW;2018;1.17776040690345
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nonuc;SNN;2018;7.87086
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nonuc;SNW;2018;7.87086
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nonuc;WDN;2018;0.785173604602301
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nonuc;WDW;2018;0.785173604602301
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nonuc;WNN;2018;7.87086
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nonuc;WNW;2018;7.87086
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nonuc;SDN;2017;1.574172
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nonuc;SDW;2017;1.574172
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nonuc;SNN;2017;5.24724
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nonuc;SNW;2017;5.24724
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nonuc;WDN;2017;1.049448
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nonuc;WDW;2017;1.049448
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nonuc;WNN;2017;5.24724
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nonuc;WNW;2017;5.24724
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nonuc;SDN;2018;0.4722516
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nonuc;SDW;2018;0.4722516
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nonuc;SNN;2018;7.87086
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nonuc;SNW;2018;7.87086
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nonuc;WDN;2018;0.3148344
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nonuc;WDW;2018;0.3148344
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nonuc;WNN;2018;7.87086
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nonuc;WNW;2018;7.87086
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nonuc;SDN;2019;3.03938316966484
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nonuc;SDW;2019;3.03938316966484
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nonuc;SNN;2019;11.80629
