Attribute;Commodity;Period;Process;Region;Scenario;TimeSlice;Vintage;PV
VAR_FOut;ELC;2017;ELCCC17;REG1;newtechs_nonuc;SDN;2017;6131.99999999999
VAR_FOut;ELC;2017;ELCCC17;REG1;newtechs_nonuc;SDW;2017;4380
VAR_FOut;ELC;2017;ELCCC17;REG1;newtechs_nonuc;SNN;2017;5518.8
VAR_FOut;ELC;2017;ELCCC17;REG1;newtechs_nonuc;SNW;2017;4380
VAR_FOut;ELC;2017;ELCCC17;REG1;newtechs_nonuc;WDN;2017;6132
VAR_FOut;ELC;2017;ELCCC17;REG1;newtechs_nonuc;WDW;2017;6745.2
VAR_FOut;ELC;2017;ELCCC17;REG1;newtechs_nonuc;WNN;2017;5256
VAR_FOut;ELC;2017;ELCCC17;REG1;newtechs_nonuc;WNW;2017;5256
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;SDN;2017;3817.51887572947
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;SDW;2017;2726.79919694962
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;SNN;2017;5518.8
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;SNW;2017;4380
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;WDN;2017;3817.51887572947
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;WDW;2017;4199.27076330243
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;WNN;2017;5256
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;WNW;2017;5256
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;SDN;2018;9198
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;SDW;2018;6570
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;SNN;2018;8278.2
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;SNW;2018;6570
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;WDN;2018;9198
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;WDW;2018;10117.8
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;WNN;2018;7884
VAR_FOut;ELC;2018;ELCCC17;REG1;newtechs_nonuc;WNW;2018;7884
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;SDN;2017;1839.6
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;SDW;2017;1314
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;SNN;2017;5518.8
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;SNW;2017;4380
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;WDN;2017;1839.6
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;WDW;2017;2023.56
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;WNN;2017;5256
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;WNW;2017;5256
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;SDN;2018;7388.52642602126
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;SDW;2018;5277.51887572947
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;SNN;2018;8278.2
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;SNW;2018;6570
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;WDN;2018;7388.52642602126
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;WDW;2018;8127.3790686234
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;WNN;2018;7884
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;WNW;2018;7884
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;SDN;2019;13797
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;SDW;2019;9855
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;SNN;2019;12417.3
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;SNW;2019;9855
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;WDN;2019;13797
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;WDW;2019;15176.7
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;WNN;2019;11826
VAR_FOut;ELC;2019;ELCCC17;REG1;newtechs_nonuc;WNW;2019;11826
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;SDN;2017;3353.45699642976
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;SDW;2017;2395.32642602127
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;SNN;2017;5518.8
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;SNW;2017;4380
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;WDN;2017;3353.45699642976
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;WDW;2017;3688.80269607275
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;WNN;2017;5256
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;WNW;2017;5256
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;SDN;2018;2207.52
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;SDW;2018;1576.8
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;SNN;2018;8278.2
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;SNW;2018;6570
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;WDN;2018;2207.52
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;WDW;2018;2428.272
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;WNN;2018;7884
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;WNW;2018;7884
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;SDN;2019;13797
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;SDW;2019;9855
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;SNN;2019;12417.3
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;SNW;2019;9855
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;WDN;2019;13797
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;WDW;2019;15176.7
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;WNN;2019;11826
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;WNW;2019;11826
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;SDN;2020;20695.5
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;SDW;2020;14782.5
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;SNN;2020;18625.95
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;SNW;2020;14782.5
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;WDN;2020;20695.5
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;WDW;2020;22765.05
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;WNN;2020;17739
VAR_FOut;ELC;2020;ELCCC17;REG1;newtechs_nonuc;WNW;2020;17739
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;SDN;2017;1839.6
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;SDW;2017;1314
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;SNN;2017;5518.8
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;SNW;2017;4380
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;WDN;2017;1839.6
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;WDW;2017;2023.56
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;WNN;2017;5256
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;WNW;2017;5256
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;SDN;2018;2207.52
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;SDW;2018;1576.8
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;SNN;2018;8278.2
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;SNW;2018;6570
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;WDN;2018;2207.52
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;WDW;2018;2428.272
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;WNN;2018;7884
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;WNW;2018;7884
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;SDN;2019;10176.8477950017
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;SDW;2019;7269.17699642977
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;SNN;2019;12417.3
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;SNW;2019;9855
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;WDN;2019;10176.8477950017
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;WDW;2019;11194.5325745018
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;WNN;2019;11826
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;WNW;2019;11826
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;SDN;2020;20695.5
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;SDW;2020;14782.5
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;SNN;2020;18625.95
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;SNW;2020;14782.5
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;WDN;2020;20695.5
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;WDW;2020;22765.05
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;WNN;2020;17739
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;WNW;2020;17739
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;SDN;2021;15265.1019314239
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;SDW;2021;10903.6442367314
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;SNN;2021;13738.5917382815
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;SNW;2021;10903.6442367314
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;WDN;2021;15265.1019314239
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;WDW;2021;16791.6121245663
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;WNN;2021;13084.3730840777
VAR_FOut;ELC;2021;ELCCC17;REG1;newtechs_nonuc;WNW;2021;13084.3730840777
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;SDN;2017;1839.6
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;SDW;2017;1314
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;SNN;2017;1655.64
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;SNW;2017;1314
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;WDN;2017;1839.6
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;WDW;2017;2023.56
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;WNN;2017;1576.8
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;WNW;2017;1576.8
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;SDN;2018;2207.52
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;SDW;2018;1576.8
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;SNN;2018;6799.23774707039
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;SNW;2018;5396.22043418286
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;WDN;2018;2207.52
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;WDW;2018;2428.272
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;WNN;2018;6475.46452101944
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;WNW;2018;6475.46452101943
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;SDN;2019;11402.7393363968
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;SDW;2019;8144.81381171203
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;SNN;2019;12417.3
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;SNW;2019;9855
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;WDN;2019;11402.7393363968
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;WDW;2019;12543.0132700365
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;WNN;2019;11826
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;WNW;2019;11826
VAR_FOut;ELC;2022;ELCCC17;REG1;newtechs_nonuc;SDN;2020;20695.5
