Attribute;Commodity;Period;Process;Region;Scenario;TimeSlice;Vintage;PV
VAR_FOut;H2;2028;FTE-EALKH22;REG1;newtechs_nonuc;WNN;2025;910.890887654883
VAR_FOut;H2;2028;FTE-EALKH22;REG1;newtechs_nonuc;SNN;2026;910.890887654787
VAR_FOut;H2;2029;FTE-EALKH22;REG1;newtechs_nonuc;WNN;2023;5135.46530140687
VAR_FOut;H2;2029;FTE-EALKH22;REG1;newtechs_nonuc;SNN;2026;5135.46530140687
VAR_FOut;H2;2030;FTE-EALKH22;REG1;newtechs_nonuc;WNN;2023;11245.0659604056
VAR_FOut;H2;2030;FTE-EALKH22;REG1;newtechs_nonuc;SNN;2029;11245.0659604055
VAR_FOut;H2;2031;FTE-EALKH22;REG1;newtechs_nonuc;SNN;2025;19282.5215168303
VAR_FOut;H2;2031;FTE-EALKH22;REG1;newtechs_nonuc;WNN;2028;19282.5215168304
VAR_FOut;H2;2032;FTE-EALKH22;REG1;newtechs_nonuc;SNN;2024;25606.3065426431
VAR_FOut;H2;2032;FTE-EALKH22;REG1;newtechs_nonuc;WNN;2030;25606.3065426432
VAR_FOut;H2;2033;FTE-EALKH22;REG1;newtechs_nonuc;SNN;2023;31853.4326296802
VAR_FOut;H2;2033;FTE-EALKH22;REG1;newtechs_nonuc;WNN;2029;31853.4326296803
VAR_FOut;H2;2034;FTE-EALKH22;REG1;newtechs_nonuc;SNN;2025;38138.8881861051
VAR_FOut;H2;2034;FTE-EALKH22;REG1;newtechs_nonuc;SNW;2034;3166.52601103275
VAR_FOut;H2;2034;FTE-EALKH22;REG1;newtechs_nonuc;WNN;2034;38138.8881861052
VAR_FOut;H2;2035;FTE-EALKH22;REG1;newtechs_nonuc;SNN;2034;44345.3379002334
VAR_FOut;H2;2035;FTE-EALKH22;REG1;newtechs_nonuc;WNN;2034;44345.3379002335
VAR_FOut;H2;2036;FTE-EALKH22;REG1;newtechs_nonuc;SNN;2031;46152.3317137347
VAR_FOut;H2;2036;FTE-EALKH22;REG1;newtechs_nonuc;WNN;2034;46152.3317137348
