Attribute;Period;Process;Region;Scenario;Vintage;PV
VAR_Cap;2030;ECALK22;REG1;newtechs_nonuc5;-;1
VAR_Cap;2031;ECALK22;REG1;newtechs_nonuc5;-;1
VAR_Cap;2032;ECALK22;REG1;newtechs_nonuc5;-;1
VAR_Cap;2033;ECALK22;REG1;newtechs_nonuc5;-;1.10157790783491
VAR_Cap;2034;ECALK22;REG1;newtechs_nonuc5;-;1.95847213784379
VAR_Cap;2035;ECALK22;REG1;newtechs_nonuc5;-;3.66352210746755
VAR_Cap;2036;ECALK22;REG1;newtechs_nonuc5;-;5.07014871714943
VAR_Cap;2037;ECALK22;REG1;newtechs_nonuc5;-;5.07327516835614
VAR_Cap;2038;ECALK22;REG1;newtechs_nonuc5;-;5.5383324822654
VAR_Cap;2039;ECALK22;REG1;newtechs_nonuc5;-;6.35073119049673
VAR_Cap;2040;ECALK22;REG1;newtechs_nonuc5;-;7.7460561798462
VAR_Cap;2041;ECALK22;REG1;newtechs_nonuc5;-;9.51367226279843
VAR_Cap;2042;ECALK22;REG1;newtechs_nonuc5;-;11.8973953900905
VAR_Cap;2043;ECALK22;REG1;newtechs_nonuc5;-;14.1328202994925
VAR_Cap;2044;ECALK22;REG1;newtechs_nonuc5;-;17.3161026494255
VAR_Cap;2045;ECALK22;REG1;newtechs_nonuc5;-;22.0116567302056
VAR_Cap;2046;ECALK22;REG1;newtechs_nonuc5;-;28.4738094805762
VAR_Cap;2047;ECALK22;REG1;newtechs_nonuc5;-;37.0274131487238
VAR_Cap;2048;ECALK22;REG1;newtechs_nonuc5;-;48.8529132472453
VAR_Cap;2049;ECALK22;REG1;newtechs_nonuc5;-;64.5087872214189
VAR_Cap;2050;ECALK22;REG1;newtechs_nonuc5;-;63.5315554184492
VAR_Cap;2051;ECALK22;REG1;newtechs_nonuc5;-;62.404065766746
VAR_Cap;2052;ECALK22;REG1;newtechs_nonuc5;-;61.7914048739854
VAR_Cap;2053;ECALK22;REG1;newtechs_nonuc5;-;61.1851417259049
VAR_Cap;2054;ECALK22;REG1;newtechs_nonuc5;-;60.6088347573
VAR_Cap;2055;ECALK22;REG1;newtechs_nonuc5;-;60.3293883993433
VAR_Cap;2056;ECALK22;REG1;newtechs_nonuc5;-;60.0519527067542
VAR_Cap;2057;ECALK22;REG1;newtechs_nonuc5;-;59.9939592558927
VAR_Cap;2058;ECALK22;REG1;newtechs_nonuc5;-;59.9494671821554
VAR_Cap;2059;ECALK22;REG1;newtechs_nonuc5;-;59.8899767610784
VAR_Cap;2060;ECALK22;REG1;newtechs_nonuc5;-;59.8304863400013
VAR_Cap;2061;ECALK22;REG1;newtechs_nonuc5;-;59.7709959189242
VAR_Cap;2062;ECALK22;REG1;newtechs_nonuc5;-;59.7115054978471
VAR_Cap;2063;ECALK22;REG1;newtechs_nonuc5;-;59.65201507677
VAR_Cap;2064;ECALK22;REG1;newtechs_nonuc5;-;59.5925246556929
VAR_Cap;2065;ECALK22;REG1;newtechs_nonuc5;-;59.5330342346159
VAR_Cap;2066;ECALK22;REG1;newtechs_nonuc5;-;59.4735438135388
