Attribute;Commodity;Period;Process;Region;Scenario;TimeSlice;Vintage;PV
VAR_FOut;ELC;2017;ELCCC17;REG1;newtech_nonuc;SDN;2017;1533
VAR_FOut;ELC;2017;ELCCC17;REG1;newtech_nonuc;SDW;2017;657
VAR_FOut;ELC;2017;ELCCC17;REG1;newtech_nonuc;SNN;2017;1410.36
VAR_FOut;ELC;2017;ELCCC17;REG1;newtech_nonuc;SNW;2017;604.44
VAR_FOut;ELC;2017;ELCCC17;REG1;newtech_nonuc;WDN;2017;1533
VAR_FOut;ELC;2017;ELCCC17;REG1;newtech_nonuc;WDW;2017;657
VAR_FOut;ELC;2017;ELCCC17;REG1;newtech_nonuc;WNN;2017;1655.64
VAR_FOut;ELC;2017;ELCCC17;REG1;newtech_nonuc;WNW;2017;709.56
VAR_FOut;ELC;2018;ELCCC17;REG1;newtech_nonuc;SDN;2017;1533
VAR_FOut;ELC;2018;ELCCC17;REG1;newtech_nonuc;SDW;2017;657
VAR_FOut;ELC;2018;ELCCC17;REG1;newtech_nonuc;SNN;2017;1410.36
VAR_FOut;ELC;2018;ELCCC17;REG1;newtech_nonuc;SNW;2017;604.44
VAR_FOut;ELC;2018;ELCCC17;REG1;newtech_nonuc;WDN;2017;1533
VAR_FOut;ELC;2018;ELCCC17;REG1;newtech_nonuc;WDW;2017;657
VAR_FOut;ELC;2018;ELCCC17;REG1;newtech_nonuc;WNN;2017;1655.64
VAR_FOut;ELC;2018;ELCCC17;REG1;newtech_nonuc;WNW;2017;709.56
VAR_FOut;ELC;2018;ELCCC17;REG1;newtech_nonuc;SDN;2018;1992.9
VAR_FOut;ELC;2018;ELCCC17;REG1;newtech_nonuc;SDW;2018;854.1
VAR_FOut;ELC;2018;ELCCC17;REG1;newtech_nonuc;SNN;2018;1833.468
VAR_FOut;ELC;2018;ELCCC17;REG1;newtech_nonuc;SNW;2018;785.772
VAR_FOut;ELC;2018;ELCCC17;REG1;newtech_nonuc;WDN;2018;1992.9
VAR_FOut;ELC;2018;ELCCC17;REG1;newtech_nonuc;WDW;2018;854.1
VAR_FOut;ELC;2018;ELCCC17;REG1;newtech_nonuc;WNN;2018;2152.332
VAR_FOut;ELC;2018;ELCCC17;REG1;newtech_nonuc;WNW;2018;922.428
VAR_FOut;ELC;2019;ELCCC17;REG1;newtech_nonuc;SDN;2017;1533
VAR_FOut;ELC;2019;ELCCC17;REG1;newtech_nonuc;SDW;2017;657
VAR_FOut;ELC;2019;ELCCC17;REG1;newtech_nonuc;SNN;2017;1410.36
VAR_FOut;ELC;2019;ELCCC17;REG1;newtech_nonuc;SNW;2017;604.44
VAR_FOut;ELC;2019;ELCCC17;REG1;newtech_nonuc;WDN;2017;1533
VAR_FOut;ELC;2019;ELCCC17;REG1;newtech_nonuc;WDW;2017;657
VAR_FOut;ELC;2019;ELCCC17;REG1;newtech_nonuc;WNN;2017;1655.64
VAR_FOut;ELC;2019;ELCCC17;REG1;newtech_nonuc;WNW;2017;709.56
VAR_FOut;ELC;2019;ELCCC17;REG1;newtech_nonuc;SDN;2018;1992.9
