Attribute;Commodity;Period;Process;Region;Scenario;TimeSlice;Vintage;PV
VAR_FOut;SELC;2035;FTE-SIMECCSG22;REG1;newtechs_nonuc;WDW;2015;1411.72782243273
VAR_FOut;SELC;2036;FTE-SIMECCSG22;REG1;newtechs_nonuc;SDW;2028;3205.4929230898
VAR_FOut;SELC;2036;FTE-SIMECCSG22;REG1;newtechs_nonuc;WDW;2035;2136.99528205986
VAR_FOut;SELC;2037;FTE-SIMECCSG22;REG1;newtechs_nonuc;WDW;2022;3063.60950520377
VAR_FOut;SELC;2038;FTE-SIMECCSG22;REG1;newtechs_nonuc;WDW;2023;3978.08439018869
VAR_FOut;SELC;2038;FTE-SIMECCSG22;REG1;newtechs_nonuc;SDW;2035;5967.12658528303
VAR_FOut;SELC;2039;FTE-SIMECCSG22;REG1;newtechs_nonuc;SDW;2033;855.393510993919
VAR_FOut;SELC;2039;FTE-SIMECCSG22;REG1;newtechs_nonuc;WDW;2039;4891.05621626169
VAR_FOut;SELC;2040;FTE-SIMECCSG22;REG1;newtechs_nonuc;WDW;2036;6603.6530811402
VAR_FOut;SELC;2040;FTE-SIMECCSG22;REG1;newtechs_nonuc;SDW;2038;9905.47962171029
VAR_FOut;SELC;2041;FTE-SIMECCSG22;REG1;newtechs_nonuc;SDN;2017;1527.58263531226
VAR_FOut;SELC;2041;FTE-SIMECCSG22;REG1;newtechs_nonuc;WDN;2028;1018.38842354151
VAR_FOut;SELC;2041;FTE-SIMECCSG22;REG1;newtechs_nonuc;WDW;2028;8830.02900548226
VAR_FOut;SELC;2041;FTE-SIMECCSG22;REG1;newtechs_nonuc;SDW;2029;13245.0435082234
VAR_FOut;SELC;2042;FTE-SIMECCSG22;REG1;newtechs_nonuc;WDW;2028;9429.04820128614
VAR_FOut;SELC;2042;FTE-SIMECCSG22;REG1;newtechs_nonuc;SDW;2039;14143.5723019292
VAR_FOut;SELC;2042;FTE-SIMECCSG22;REG1;newtechs_nonuc;WDN;2041;582.174713569608
VAR_FOut;SELC;2043;FTE-SIMECCSG22;REG1;newtechs_nonuc;WDW;2032;9741.80930155212
VAR_FOut;SELC;2043;FTE-SIMECCSG22;REG1;newtechs_nonuc;SDW;2033;14612.7139523282
VAR_FOut;SELC;2044;FTE-SIMECCSG22;REG1;newtechs_nonuc;WDW;2039;10889.233251313
VAR_FOut;SELC;2044;FTE-SIMECCSG22;REG1;newtechs_nonuc;SDW;2041;16333.8498769695
VAR_FOut;SELC;2045;FTE-SIMECCSG22;REG1;newtechs_nonuc;WDW;2028;12459.631796171
VAR_FOut;SELC;2045;FTE-SIMECCSG22;REG1;newtechs_nonuc;SDW;2032;18689.4476942564
VAR_FOut;SELC;2046;FTE-SIMECCSG22;REG1;newtechs_nonuc;SDW;2028;19983.0983521234
VAR_FOut;SELC;2046;FTE-SIMECCSG22;REG1;newtechs_nonuc;WDW;2039;11745.7949691455
VAR_FOut;SELC;2047;FTE-SIMECCSG22;REG1;newtechs_nonuc;SDW;2028;20510.758022548
VAR_FOut;SELC;2047;FTE-SIMECCSG22;REG1;newtechs_nonuc;WDW;2028;12110.3363108062
VAR_FOut;SELC;2048;FTE-SIMECCSG22;REG1;newtechs_nonuc;SDW;2031;21143.9496270576
VAR_FOut;SELC;2048;FTE-SIMECCSG22;REG1;newtechs_nonuc;WDW;2039;14095.9664180384
VAR_FOut;SELC;2049;FTE-SIMECCSG22;REG1;newtechs_nonuc;SDW;2031;21903.7795524692
VAR_FOut;SELC;2049;FTE-SIMECCSG22;REG1;newtechs_nonuc;WDW;2039;14602.5197016461
VAR_FOut;SELC;2050;FTE-SIMECCSG22;REG1;newtechs_nonuc;SDW;2038;25738.5870390481
VAR_FOut;SELC;2050;FTE-SIMECCSG22;REG1;newtechs_nonuc;SDN;2039;2923.01157608493
VAR_FOut;SELC;2050;FTE-SIMECCSG22;REG1;newtechs_nonuc;WDN;2039;1948.67438405662
VAR_FOut;SELC;2050;FTE-SIMECCSG22;REG1;newtechs_nonuc;WDW;2039;15263.8743840566
VAR_FOut;SELC;2051;FTE-SIMECCSG22;REG1;newtechs_nonuc;SDW;2031;1656.89474385987
VAR_FOut;SELC;2051;FTE-SIMECCSG22;REG1;newtechs_nonuc;SDN;2039;1656.89474385986
VAR_FOut;SELC;2051;FTE-SIMECCSG22;REG1;newtechs_nonuc;WDW;2039;17310.720866277
VAR_FOut;SELC;2052;FTE-SIMECCSG22;REG1;newtechs_nonuc;SDN;2017;517.805416507046
VAR_FOut;SELC;2052;FTE-SIMECCSG22;REG1;newtechs_nonuc;WDW;2039;17692.9560554491
VAR_FOut;SELC;2052;FTE-SIMECCSG22;REG1;newtechs_nonuc;SDW;2047;26539.4340831737
VAR_FOut;SELC;2053;FTE-SIMECCSG22;REG1;newtechs_nonuc;SDW;2039;27996.668
VAR_FOut;SELC;2053;FTE-SIMECCSG22;REG1;newtechs_nonuc;WDW;2039;18664.4453333334
VAR_FOut;SELC;2054;FTE-SIMECCSG22;REG1;newtechs_nonuc;SDW;2039;8150.95992628899
VAR_FOut;SELC;2054;FTE-SIMECCSG22;REG1;newtechs_nonuc;WDW;2039;14003.5892841929
VAR_FOut;SELC;2055;FTE-SIMECCSG22;REG1;newtechs_nonuc;SDW;2039;28249.66785736
VAR_FOut;SELC;2055;FTE-SIMECCSG22;REG1;newtechs_nonuc;WDW;2039;18833.1119049067
