Attribute;Commodity;Period;Process;Region;Scenario;TimeSlice;Vintage;PV
VAR_FOut;ELCCO2;2017;ELCCC17;REG1;newtechs_nuc;SDN;2017;1.574172
VAR_FOut;ELCCO2;2017;ELCCC17;REG1;newtechs_nuc;SDW;2017;1.574172
VAR_FOut;ELCCO2;2017;ELCCC17;REG1;newtechs_nuc;SNN;2017;5.24724
VAR_FOut;ELCCO2;2017;ELCCC17;REG1;newtechs_nuc;SNW;2017;5.24724
VAR_FOut;ELCCO2;2017;ELCCC17;REG1;newtechs_nuc;WDN;2017;1.049448
VAR_FOut;ELCCO2;2017;ELCCC17;REG1;newtechs_nuc;WDW;2017;1.049448
VAR_FOut;ELCCO2;2017;ELCCC17;REG1;newtechs_nuc;WNN;2017;5.24724
VAR_FOut;ELCCO2;2017;ELCCC17;REG1;newtechs_nuc;WNW;2017;5.24724
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nuc;SDN;2017;1.574172
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nuc;SDW;2017;1.574172
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nuc;SNN;2017;5.24724
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nuc;SNW;2017;5.24724
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nuc;WDN;2017;1.049448
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nuc;WDW;2017;1.049448
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nuc;WNN;2017;5.24724
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nuc;WNW;2017;5.24724
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nuc;SDN;2018;1.71676558618222
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nuc;SDW;2018;1.71676558618223
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nuc;SNN;2018;7.87086
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nuc;SNW;2018;7.87086
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nuc;WDN;2018;1.14451039078815
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nuc;WDW;2018;1.14451039078815
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nuc;WNN;2018;7.87086
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nuc;WNW;2018;7.87086
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nuc;SDN;2017;1.574172
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nuc;SDW;2017;1.574172
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nuc;SNN;2017;5.24724
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nuc;SNW;2017;5.24724
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nuc;WDN;2017;1.049448
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nuc;WDW;2017;1.049448
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nuc;WNN;2017;5.24724
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nuc;WNW;2017;5.24724
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nuc;SDN;2018;2.361258
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nuc;SDW;2018;2.361258
