Attribute;Commodity;Period;Process;Region;Scenario;TimeSlice;Vintage;PV
VAR_FOut;H2;2037;FTE-EPEMH22;REG1;newtechs_nuc;SDN;2022;190.536925017548
VAR_FOut;H2;2037;FTE-EPEMH22;REG1;newtechs_nuc;WDN;2022;69.2861545518361
VAR_FOut;H2;2037;FTE-EPEMH22;REG1;newtechs_nuc;SNN;2036;692.861545518353
VAR_FOut;H2;2037;FTE-EPEMH22;REG1;newtechs_nuc;SNW;2036;692.861545518353
VAR_FOut;H2;2037;FTE-EPEMH22;REG1;newtechs_nuc;WNN;2036;692.861545518353
VAR_FOut;H2;2037;FTE-EPEMH22;REG1;newtechs_nuc;WNW;2036;692.861545518353
VAR_FOut;H2;2038;FTE-EPEMH22;REG1;newtechs_nuc;WNN;2022;2370.31351925279
VAR_FOut;H2;2038;FTE-EPEMH22;REG1;newtechs_nuc;SDW;2036;535.397539096657
VAR_FOut;H2;2038;FTE-EPEMH22;REG1;newtechs_nuc;WDW;2036;356.931692731101
VAR_FOut;H2;2038;FTE-EPEMH22;REG1;newtechs_nuc;WNW;2037;2370.31351925279
VAR_FOut;H2;2038;FTE-EPEMH22;REG1;newtechs_nuc;SDN;2038;711.094055775837
VAR_FOut;H2;2038;FTE-EPEMH22;REG1;newtechs_nuc;SNN;2038;2370.31351925279
VAR_FOut;H2;2038;FTE-EPEMH22;REG1;newtechs_nuc;SNW;2038;2370.31351925282
VAR_FOut;H2;2038;FTE-EPEMH22;REG1;newtechs_nuc;WDN;2038;474.062703850564
VAR_FOut;H2;2039;FTE-EPEMH22;REG1;newtechs_nuc;WNN;2022;4598.97337644199
VAR_FOut;H2;2039;FTE-EPEMH22;REG1;newtechs_nuc;SDN;2039;1379.6920129326
VAR_FOut;H2;2039;FTE-EPEMH22;REG1;newtechs_nuc;SNN;2039;4598.97337644199
VAR_FOut;H2;2039;FTE-EPEMH22;REG1;newtechs_nuc;SNW;2039;4598.97337644203
VAR_FOut;H2;2039;FTE-EPEMH22;REG1;newtechs_nuc;WDN;2039;919.794675288397
VAR_FOut;H2;2039;FTE-EPEMH22;REG1;newtechs_nuc;WNW;2039;4598.97337644199
VAR_FOut;H2;2040;FTE-EPEMH22;REG1;newtechs_nuc;SDN;2022;1770.97311480594
VAR_FOut;H2;2040;FTE-EPEMH22;REG1;newtechs_nuc;SNN;2022;5903.24371601978
VAR_FOut;H2;2040;FTE-EPEMH22;REG1;newtechs_nuc;SNW;2022;5903.24371601981
VAR_FOut;H2;2040;FTE-EPEMH22;REG1;newtechs_nuc;WDN;2039;1180.64874320394
VAR_FOut;H2;2040;FTE-EPEMH22;REG1;newtechs_nuc;WNN;2039;5903.24371601978
VAR_FOut;H2;2040;FTE-EPEMH22;REG1;newtechs_nuc;WNW;2039;5903.24371601981
VAR_FOut;H2;2041;FTE-EPEMH22;REG1;newtechs_nuc;SDN;2022;2477.43949408238
VAR_FOut;H2;2041;FTE-EPEMH22;REG1;newtechs_nuc;SNN;2022;8258.13164694126
VAR_FOut;H2;2041;FTE-EPEMH22;REG1;newtechs_nuc;SNW;2022;8258.13164694128
VAR_FOut;H2;2041;FTE-EPEMH22;REG1;newtechs_nuc;WDN;2022;1387.39348964579
VAR_FOut;H2;2041;FTE-EPEMH22;REG1;newtechs_nuc;WNN;2022;4624.65524762193
VAR_FOut;H2;2041;FTE-EPEMH22;REG1;newtechs_nuc;WNW;2022;6936.96744822895
VAR_FOut;H2;2042;FTE-EPEMH22;REG1;newtechs_nuc;SNN;2022;13648.7931013504
VAR_FOut;H2;2042;FTE-EPEMH22;REG1;newtechs_nuc;SNW;2022;7903.75409246593
VAR_FOut;H2;2042;FTE-EPEMH22;REG1;newtechs_nuc;WNN;2022;6488.3442274129
VAR_FOut;H2;2042;FTE-EPEMH22;REG1;newtechs_nuc;WNW;2022;7903.75409246592
VAR_FOut;H2;2043;FTE-EPEMH22;REG1;newtechs_nuc;SNN;2022;20814.9300464078
VAR_FOut;H2;2043;FTE-EPEMH22;REG1;newtechs_nuc;SNW;2022;2590.24048687614
VAR_FOut;H2;2043;FTE-EPEMH22;REG1;newtechs_nuc;WNN;2022;13053.0424060123
VAR_FOut;H2;2043;FTE-EPEMH22;REG1;newtechs_nuc;WNW;2022;2590.24048687615
VAR_FOut;H2;2044;FTE-EPEMH22;REG1;newtechs_nuc;SNN;2022;30144.5776907581
VAR_FOut;H2;2044;FTE-EPEMH22;REG1;newtechs_nuc;SNW;2022;1170.46752904899
VAR_FOut;H2;2044;FTE-EPEMH22;REG1;newtechs_nuc;WNN;2022;19773.4863184861
VAR_FOut;H2;2044;FTE-EPEMH22;REG1;newtechs_nuc;WNW;2022;1170.46752904895
VAR_FOut;H2;2045;FTE-EPEMH22;REG1;newtechs_nuc;SNN;2022;42043.4139803721
VAR_FOut;H2;2045;FTE-EPEMH22;REG1;newtechs_nuc;SNW;2022;1520.45961071695
VAR_FOut;H2;2045;FTE-EPEMH22;REG1;newtechs_nuc;WNN;2022;27632.2442595464
VAR_FOut;H2;2045;FTE-EPEMH22;REG1;newtechs_nuc;WNW;2022;1520.45961071696
VAR_FOut;H2;2046;FTE-EPEMH22;REG1;newtechs_nuc;SNN;2046;56909.0096030551
VAR_FOut;H2;2046;FTE-EPEMH22;REG1;newtechs_nuc;SNW;2046;493.546020447299
VAR_FOut;H2;2046;FTE-EPEMH22;REG1;newtechs_nuc;WNN;2046;41326.7593606255
VAR_FOut;H2;2046;FTE-EPEMH22;REG1;newtechs_nuc;WNW;2046;493.546020447305
VAR_FOut;H2;2047;FTE-EPEMH22;REG1;newtechs_nuc;SNN;2047;76234.283912543
VAR_FOut;H2;2047;FTE-EPEMH22;REG1;newtechs_nuc;SNW;2047;8065.98921544863
VAR_FOut;H2;2047;FTE-EPEMH22;REG1;newtechs_nuc;WNN;2047;66193.6913114325
VAR_FOut;H2;2048;FTE-EPEMH22;REG1;newtechs_nuc;SNN;2048;101357.140514877
VAR_FOut;H2;2048;FTE-EPEMH22;REG1;newtechs_nuc;WNN;2048;101357.140514877
VAR_FOut;H2;2049;FTE-EPEMH22;REG1;newtechs_nuc;SNN;2049;129451.466682976
VAR_FOut;H2;2049;FTE-EPEMH22;REG1;newtechs_nuc;WNN;2049;129451.466682976
