Attribute;Period;Process;Region;Scenario;Vintage;PV
VAR_Cap;2037;ECPEM22;REG1;newtechs_nuc;-;0.439409909638732
VAR_Cap;2038;ECPEM22;REG1;newtechs_nuc;-;1.57123288253035
VAR_Cap;2039;ECPEM22;REG1;newtechs_nuc;-;3.04260274728946
VAR_Cap;2040;ECPEM22;REG1;newtechs_nuc;-;4.9553835714763
VAR_Cap;2041;ECPEM22;REG1;newtechs_nuc;-;7.44199864291918
VAR_Cap;2042;ECPEM22;REG1;newtechs_nuc;-;10.6745982357949
VAR_Cap;2043;ECPEM22;REG1;newtechs_nuc;-;14.8769777065334
VAR_Cap;2044;ECPEM22;REG1;newtechs_nuc;-;20.3400710184934
VAR_Cap;2045;ECPEM22;REG1;newtechs_nuc;-;27.4420923240415
VAR_Cap;2046;ECPEM22;REG1;newtechs_nuc;-;36.6747200212539
VAR_Cap;2047;ECPEM22;REG1;newtechs_nuc;-;48.6771360276301
VAR_Cap;2048;ECPEM22;REG1;newtechs_nuc;-;64.2802768359191
VAR_Cap;2049;ECPEM22;REG1;newtechs_nuc;-;82.0975816102079
VAR_Cap;2050;ECPEM22;REG1;newtechs_nuc;-;96.9508631555589
VAR_Cap;2051;ECPEM22;REG1;newtechs_nuc;-;98.3211037513922
VAR_Cap;2052;ECPEM22;REG1;newtechs_nuc;-;101.99255684674
VAR_Cap;2053;ECPEM22;REG1;newtechs_nuc;-;105.697763617519
VAR_Cap;2054;ECPEM22;REG1;newtechs_nuc;-;109.409634507398
VAR_Cap;2055;ECPEM22;REG1;newtechs_nuc;-;113.094387551149
VAR_Cap;2056;ECPEM22;REG1;newtechs_nuc;-;116.770936397264
VAR_Cap;2057;ECPEM22;REG1;newtechs_nuc;-;118.537748300973
VAR_Cap;2058;ECPEM22;REG1;newtechs_nuc;-;120.292464072326
VAR_Cap;2059;ECPEM22;REG1;newtechs_nuc;-;122.033293728266
VAR_Cap;2060;ECPEM22;REG1;newtechs_nuc;-;123.784235021345
VAR_Cap;2061;ECPEM22;REG1;newtechs_nuc;-;125.588037852304
VAR_Cap;2062;ECPEM22;REG1;newtechs_nuc;-;127.395941095396
VAR_Cap;2063;ECPEM22;REG1;newtechs_nuc;-;129.282839429191
VAR_Cap;2064;ECPEM22;REG1;newtechs_nuc;-;132.855705651592
VAR_Cap;2065;ECPEM22;REG1;newtechs_nuc;-;137.205272307118
VAR_Cap;2066;ECPEM22;REG1;newtechs_nuc;-;141.61800042645
VAR_Cap;2067;ECPEM22;REG1;newtechs_nuc;-;146.384278377043
VAR_Cap;2068;ECPEM22;REG1;newtechs_nuc;-;151.177652123905
VAR_Cap;2069;ECPEM22;REG1;newtechs_nuc;-;155.698135214557
