Attribute;Commodity;Period;Process;Region;Scenario;TimeSlice;Vintage;PV
VAR_FOut;SELC;2017;FTE-SIMECC17;REG1;conv_nonuc_2;WDN;2017;143.261844277397
VAR_FOut;SELC;2017;FTE-SIMECC17;REG1;conv_nonuc_2;WDW;2017;350.4
VAR_FOut;SELC;2017;FTE-SIMECC17;REG1;conv_nonuc_2;WNW;2017;185.285913196788
VAR_FOut;SELC;2018;FTE-SIMECC17;REG1;conv_nonuc_2;SNW;2018;346.432170301659
VAR_FOut;SELC;2018;FTE-SIMECC17;REG1;conv_nonuc_2;WNW;2018;768.234780201114
VAR_FOut;SELC;2019;FTE-SIMECC17;REG1;conv_nonuc_2;WDW;2017;724.924600046863
VAR_FOut;SELC;2019;FTE-SIMECC17;REG1;conv_nonuc_2;WNW;2017;2071.26739995314
VAR_FOut;SELC;2019;FTE-SIMECC17;REG1;conv_nonuc_2;SNW;2019;1708.80509992972
VAR_FOut;SELC;2022;FTE-SIMECC17;REG1;conv_nonuc_2;WDN;2022;1247.28226647077
VAR_FOut;SELC;2026;FTE-SIMECC17;REG1;conv_nonuc_2;WDN;2020;3612.03817413994
VAR_FOut;SELC;2026;FTE-SIMECC17;REG1;conv_nonuc_2;SDW;2022;5418.05726120991
VAR_FOut;SELC;2026;FTE-SIMECC17;REG1;conv_nonuc_2;WDW;2022;3612.03817413994
VAR_FOut;SELC;2027;FTE-SIMECC17;REG1;conv_nonuc_2;WDN;2017;3612.03817413994
VAR_FOut;SELC;2027;FTE-SIMECC17;REG1;conv_nonuc_2;SDW;2019;5418.05726120991
VAR_FOut;SELC;2027;FTE-SIMECC17;REG1;conv_nonuc_2;WDW;2022;3612.03817413994
VAR_FOut;SELC;2028;FTE-SIMECC17;REG1;conv_nonuc_2;SDN;2018;5418.05726120991
VAR_FOut;SELC;2028;FTE-SIMECC17;REG1;conv_nonuc_2;WDN;2024;3612.03817413994
VAR_FOut;SELC;2028;FTE-SIMECC17;REG1;conv_nonuc_2;WDW;2027;3612.03817413994
VAR_FOut;SELC;2029;FTE-SIMECC17;REG1;conv_nonuc_2;WDW;2025;3612.03817413994
VAR_FOut;SELC;2029;FTE-SIMECC17;REG1;conv_nonuc_2;SDW;2026;5418.05726120991
VAR_FOut;SELC;2030;FTE-SIMECC17;REG1;conv_nonuc_2;SDW;2019;5418.05726120991
VAR_FOut;SELC;2030;FTE-SIMECC17;REG1;conv_nonuc_2;WDN;2019;17831.0061573856
VAR_FOut;SELC;2030;FTE-SIMECC17;REG1;conv_nonuc_2;SDN;2022;5418.05726120991
VAR_FOut;SELC;2031;FTE-SIMECC17;REG1;conv_nonuc_2;SDW;2019;5418.05726120991
VAR_FOut;SELC;2031;FTE-SIMECC17;REG1;conv_nonuc_2;WNW;2030;11295.8869724842
VAR_FOut;SELC;2032;FTE-SIMECC17;REG1;conv_nonuc_2;WDN;2022;18060.1908706997
VAR_FOut;SELC;2032;FTE-SIMECC17;REG1;conv_nonuc_2;SDN;2030;5418.05726120991
VAR_FOut;SELC;2032;FTE-SIMECC17;REG1;conv_nonuc_2;SDW;2030;5418.05726120991
VAR_FOut;SELC;2032;FTE-SIMECC17;REG1;conv_nonuc_2;SNW;2030;10159.4771834992
VAR_FOut;SELC;2032;FTE-SIMECC17;REG1;conv_nonuc_2;WDW;2030;2146.55545070759
VAR_FOut;SELC;2033;FTE-SIMECC17;REG1;conv_nonuc_2;WDN;2025;18060.1908706997
VAR_FOut;SELC;2033;FTE-SIMECC17;REG1;conv_nonuc_2;WDW;2025;18060.1908706997
VAR_FOut;SELC;2033;FTE-SIMECC17;REG1;conv_nonuc_2;SDW;2033;5418.05726120991
VAR_FOut;SELC;2034;FTE-SIMECC17;REG1;conv_nonuc_2;WDN;2025;18060.1908706997
VAR_FOut;SELC;2036;FTE-SIMECC17;REG1;conv_nonuc_2;SDN;2019;5418.05726120991
VAR_FOut;SELC;2036;FTE-SIMECC17;REG1;conv_nonuc_2;SDW;2025;5418.05726120991
VAR_FOut;SELC;2037;FTE-SIMECC17;REG1;conv_nonuc_2;SDN;2019;5418.05726120991
