Attribute;Commodity;Period;Process;Region;Scenario;TimeSlice;Vintage;PV
VAR_FOut;ELCCO2;2017;ELCCC17;REG1;conv_nuc;SDN;2017;0.257544
VAR_FOut;ELCCO2;2017;ELCCC17;REG1;conv_nuc;SDW;2017;0.257544
VAR_FOut;ELCCO2;2017;ELCCC17;REG1;conv_nuc;SNN;2017;4.2924
VAR_FOut;ELCCO2;2017;ELCCC17;REG1;conv_nuc;SNW;2017;4.2924
VAR_FOut;ELCCO2;2017;ELCCC17;REG1;conv_nuc;WDN;2017;0.171696
VAR_FOut;ELCCO2;2017;ELCCC17;REG1;conv_nuc;WDW;2017;0.171696
VAR_FOut;ELCCO2;2017;ELCCC17;REG1;conv_nuc;WNN;2017;4.2924
VAR_FOut;ELCCO2;2017;ELCCC17;REG1;conv_nuc;WNW;2017;4.2924
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;conv_nuc;SDN;2017;0.257544
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;conv_nuc;SDW;2017;0.257544
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;conv_nuc;SNN;2017;4.2924
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;conv_nuc;SNW;2017;4.29239999999999
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;conv_nuc;WDN;2017;0.171696
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;conv_nuc;WDW;2017;0.171696
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;conv_nuc;WNN;2017;4.2924
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;conv_nuc;WNW;2017;4.29239999999999
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;conv_nuc;SDN;2018;0.386316
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;conv_nuc;SDW;2018;0.386316
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;conv_nuc;SNN;2018;6.4386
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;conv_nuc;SNW;2018;6.4386
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;conv_nuc;WDN;2018;0.257544
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;conv_nuc;WDW;2018;0.257544
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;conv_nuc;WNN;2018;6.4386
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;conv_nuc;WNW;2018;6.4386
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;conv_nuc;SDN;2017;0.944328000000007
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;conv_nuc;SDW;2017;0.944328000000006
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;conv_nuc;SNN;2017;4.2924
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;conv_nuc;SNW;2017;4.2924
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;conv_nuc;WDN;2017;0.629552000000004
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;conv_nuc;WDW;2017;0.629552000000004
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;conv_nuc;WNN;2017;4.2924
