Attribute;Period;Process;Region;Scenario;Vintage;PV
VAR_Cap;2036;ECALK22;REG1;lowtrltech_nonuc;-;0.681653229243372
VAR_Cap;2037;ECALK22;REG1;lowtrltech_nonuc;-;1.76962799832364
VAR_Cap;2038;ECALK22;REG1;lowtrltech_nonuc;-;2.42235478720028
VAR_Cap;2039;ECALK22;REG1;lowtrltech_nonuc;-;2.43748535814506
VAR_Cap;2040;ECALK22;REG1;lowtrltech_nonuc;-;2.43748535814506
VAR_Cap;2041;ECALK22;REG1;lowtrltech_nonuc;-;3.54314422983681
VAR_Cap;2042;ECALK22;REG1;lowtrltech_nonuc;-;5.60608749878786
VAR_Cap;2043;ECALK22;REG1;lowtrltech_nonuc;-;8.28791374842422
VAR_Cap;2044;ECALK22;REG1;lowtrltech_nonuc;-;11.7742878729515
VAR_Cap;2045;ECALK22;REG1;lowtrltech_nonuc;-;16.3065742348369
VAR_Cap;2046;ECALK22;REG1;lowtrltech_nonuc;-;16.3065742348369
VAR_Cap;2047;ECALK22;REG1;lowtrltech_nonuc;-;15.6249210055936
VAR_Cap;2048;ECALK22;REG1;lowtrltech_nonuc;-;14.5369462365133
VAR_Cap;2049;ECALK22;REG1;lowtrltech_nonuc;-;13.8842194476367
VAR_Cap;2050;ECALK22;REG1;lowtrltech_nonuc;-;13.8690888766919
VAR_Cap;2051;ECALK22;REG1;lowtrltech_nonuc;-;13.8690888766919
VAR_Cap;2052;ECALK22;REG1;lowtrltech_nonuc;-;12.7634300050001
VAR_Cap;2053;ECALK22;REG1;lowtrltech_nonuc;-;10.7004867360491
VAR_Cap;2054;ECALK22;REG1;lowtrltech_nonuc;-;8.01866048641272
VAR_Cap;2055;ECALK22;REG1;lowtrltech_nonuc;-;4.53228636188545
VAR_Cap;2034;ECPEM22;REG1;lowtrltech_nonuc;-;0.685191057594135
VAR_Cap;2035;ECPEM22;REG1;lowtrltech_nonuc;-;1.93185983832802
VAR_Cap;2036;ECPEM22;REG1;lowtrltech_nonuc;-;3.58869218335955
VAR_Cap;2037;ECPEM22;REG1;lowtrltech_nonuc;-;5.73707368203461
VAR_Cap;2038;ECPEM22;REG1;lowtrltech_nonuc;-;8.45819578664499
VAR_Cap;2039;ECPEM22;REG1;lowtrltech_nonuc;-;11.9956545226385
VAR_Cap;2040;ECPEM22;REG1;lowtrltech_nonuc;-;16.59435087943
VAR_Cap;2041;ECPEM22;REG1;lowtrltech_nonuc;-;22.572656143259
VAR_Cap;2042;ECPEM22;REG1;lowtrltech_nonuc;-;30.3444529862368
VAR_Cap;2043;ECPEM22;REG1;lowtrltech_nonuc;-;40.4477888821078
VAR_Cap;2044;ECPEM22;REG1;lowtrltech_nonuc;-;53.5821255467401
VAR_Cap;2045;ECPEM22;REG1;lowtrltech_nonuc;-;70.6567632107622
VAR_Cap;2046;ECPEM22;REG1;lowtrltech_nonuc;-;92.8537921739908
VAR_Cap;2047;ECPEM22;REG1;lowtrltech_nonuc;-;118.273995837834
VAR_Cap;2048;ECPEM22;REG1;lowtrltech_nonuc;-;133.70205727982
VAR_Cap;2049;ECPEM22;REG1;lowtrltech_nonuc;-;148.895314776222
VAR_Cap;2050;ECPEM22;REG1;lowtrltech_nonuc;-;182.918130408615
