Attribute;Commodity;Period;Process;Region;Scenario;TimeSlice;Vintage;PV
VAR_FOut;SELC;2017;FTE-SIMECC17;REG1;newtechs_nonuc;SDN;2017;46.0404347614472
VAR_FOut;SELC;2017;FTE-SIMECC17;REG1;newtechs_nonuc;SDW;2017;46.0404347614469
VAR_FOut;SELC;2026;FTE-SIMECC17;REG1;newtechs_nonuc;WDW;2023;267.139703134428
VAR_FOut;SELC;2032;FTE-SIMECC17;REG1;newtechs_nonuc;WDW;2017;6002.01509187944
VAR_FOut;SELC;2034;FTE-SIMECC17;REG1;newtechs_nonuc;WDW;2019;6257.16558902176
VAR_FOut;SELC;2036;FTE-SIMECC17;REG1;newtechs_nonuc;WDN;2020;765.217019276014
VAR_FOut;SELC;2036;FTE-SIMECC17;REG1;newtechs_nonuc;WDW;2030;8230.39755969376
VAR_FOut;SELC;2037;FTE-SIMECC17;REG1;newtechs_nonuc;WDW;2019;6002.01509187944
VAR_FOut;SELC;2037;FTE-SIMECC17;REG1;newtechs_nonuc;WDN;2021;4474.94759327431
VAR_FOut;SELC;2037;FTE-SIMECC17;REG1;newtechs_nonuc;WNW;2024;244.840045272092
VAR_FOut;SELC;2037;FTE-SIMECC17;REG1;newtechs_nonuc;SDW;2036;9003.02263781916
VAR_FOut;SELC;2038;FTE-SIMECC17;REG1;newtechs_nonuc;SDN;2030;9003.02263781916
VAR_FOut;SELC;2038;FTE-SIMECC17;REG1;newtechs_nonuc;SDW;2030;9003.02263781916
VAR_FOut;SELC;2039;FTE-SIMECC17;REG1;newtechs_nonuc;WDN;2027;6002.01509187944
VAR_FOut;SELC;2040;FTE-SIMECC17;REG1;newtechs_nonuc;WDN;2031;7126.41627442766
VAR_FOut;SELC;2040;FTE-SIMECC17;REG1;newtechs_nonuc;SDN;2039;9003.02263781916
VAR_FOut;SELC;2040;FTE-SIMECC17;REG1;newtechs_nonuc;WDW;2040;6002.01509187944
VAR_FOut;SELC;2041;FTE-SIMECC17;REG1;newtechs_nonuc;WDW;2017;7881.11388350037
VAR_FOut;SELC;2041;FTE-SIMECC17;REG1;newtechs_nonuc;WDN;2028;7003.7191118788
VAR_FOut;SELC;2041;FTE-SIMECC17;REG1;newtechs_nonuc;SDW;2035;9003.02263781916
VAR_FOut;SELC;2042;FTE-SIMECC17;REG1;newtechs_nonuc;WDW;2018;6002.01509187944
VAR_FOut;SELC;2042;FTE-SIMECC17;REG1;newtechs_nonuc;SDW;2039;9003.02263781916
VAR_FOut;SELC;2043;FTE-SIMECC17;REG1;newtechs_nonuc;WDW;2030;6002.01509187944
VAR_FOut;SELC;2043;FTE-SIMECC17;REG1;newtechs_nonuc;SDN;2041;9003.02263781916
VAR_FOut;SELC;2043;FTE-SIMECC17;REG1;newtechs_nonuc;SDW;2042;9003.02263781916
VAR_FOut;SELC;2044;FTE-SIMECC17;REG1;newtechs_nonuc;SDW;2028;9003.02263781916
VAR_FOut;SELC;2045;FTE-SIMECC17;REG1;newtechs_nonuc;SDW;2042;9003.02263781916
VAR_FOut;SELC;2045;FTE-SIMECC17;REG1;newtechs_nonuc;SDN;2045;9003.02263781916
VAR_FOut;SELC;2046;FTE-SIMECC17;REG1;newtechs_nonuc;SDN;2026;9003.02263781916
VAR_FOut;SELC;2046;FTE-SIMECC17;REG1;newtechs_nonuc;WDW;2033;6002.01509187944
VAR_FOut;SELC;2046;FTE-SIMECC17;REG1;newtechs_nonuc;SDW;2045;9003.02263781916
VAR_FOut;SELC;2048;FTE-SIMECC17;REG1;newtechs_nonuc;SDN;2027;7689.02263781916
VAR_FOut;SELC;2048;FTE-SIMECC17;REG1;newtechs_nonuc;SDW;2040;7689.02263781916
VAR_FOut;SELC;2049;FTE-SIMECC17;REG1;newtechs_nonuc;SDW;2027;6506.42263781916
VAR_FOut;SELC;2050;FTE-SIMECC17;REG1;newtechs_nonuc;WDN;2027;3155.01509187944
VAR_FOut;SELC;2051;FTE-SIMECC17;REG1;newtechs_nonuc;WDW;2023;1942.48466441734
VAR_FOut;SELC;2053;FTE-SIMECC17;REG1;newtechs_nonuc;SNW;2045;9096.95537847648
VAR_FOut;SELC;2053;FTE-SIMECC17;REG1;newtechs_nonuc;WNW;2045;9096.95537847648
VAR_FOut;SELC;2054;FTE-SIMECC17;REG1;newtechs_nonuc;SDN;2023;2733.42599120163
VAR_FOut;SELC;2054;FTE-SIMECC17;REG1;newtechs_nonuc;SDW;2023;2733.42599120163
VAR_FOut;SELC;2054;FTE-SIMECC17;REG1;newtechs_nonuc;WDW;2023;1822.28399413442
VAR_FOut;SELC;2055;FTE-SIMECC17;REG1;newtechs_nonuc;SDN;2019;2740.84325240355
VAR_FOut;SELC;2055;FTE-SIMECC17;REG1;newtechs_nonuc;WDW;2027;1827.2288349357
VAR_FOut;SELC;2056;FTE-SIMECC17;REG1;newtechs_nonuc;SDW;2027;2736.62617521395
VAR_FOut;SELC;2056;FTE-SIMECC17;REG1;newtechs_nonuc;WDW;2027;1824.41745014259
VAR_FOut;SELC;2057;FTE-SIMECC17;REG1;newtechs_nonuc;WDW;2027;1834.77353751915
VAR_FOut;SELC;2058;FTE-SIMECC17;REG1;newtechs_nonuc;SDN;2027;2766.62613681283
VAR_FOut;SELC;2058;FTE-SIMECC17;REG1;newtechs_nonuc;WDW;2027;1844.41742454189
VAR_FOut;SELC;2059;FTE-SIMECC17;REG1;newtechs_nonuc;SDN;2027;2779.06645926855
VAR_FOut;SELC;2059;FTE-SIMECC17;REG1;newtechs_nonuc;WDN;2027;1852.7109728457
VAR_FOut;SELC;2059;FTE-SIMECC17;REG1;newtechs_nonuc;WDW;2027;1852.71097284524
VAR_FOut;SELC;2060;FTE-SIMECC17;REG1;newtechs_nonuc;SDN;2027;2793.11941410139
VAR_FOut;SELC;2060;FTE-SIMECC17;REG1;newtechs_nonuc;WDN;2027;1862.07960940093
VAR_FOut;SELC;2060;FTE-SIMECC17;REG1;newtechs_nonuc;WDW;2027;1862.07960940093
VAR_FOut;SELC;2061;FTE-SIMECC17;REG1;newtechs_nonuc;SDW;2034;2795.92714012129
VAR_FOut;SELC;2061;FTE-SIMECC17;REG1;newtechs_nonuc;SDN;2044;2795.92714012129
VAR_FOut;SELC;2061;FTE-SIMECC17;REG1;newtechs_nonuc;WDW;2046;1863.95142674753
VAR_FOut;SELC;2062;FTE-SIMECC17;REG1;newtechs_nonuc;SDW;2042;2906.2093987005
VAR_FOut;SELC;2063;FTE-SIMECC17;REG1;newtechs_nonuc;SDW;2024;2910.3710364629
VAR_FOut;SELC;2064;FTE-SIMECC17;REG1;newtechs_nonuc;WDN;2039;1942.16074232751
VAR_FOut;SELC;2064;FTE-SIMECC17;REG1;newtechs_nonuc;SDW;2045;2913.24111349127
VAR_FOut;SELC;2064;FTE-SIMECC17;REG1;newtechs_nonuc;WDW;2060;1942.16074232751
VAR_FOut;SELC;2065;FTE-SIMECC17;REG1;newtechs_nonuc;SDN;2033;2913.24111349127
VAR_FOut;SELC;2065;FTE-SIMECC17;REG1;newtechs_nonuc;WDN;2045;1942.16074232746
VAR_FOut;SELC;2066;FTE-SIMECC17;REG1;newtechs_nonuc;WDN;2038;1942.81462210708
VAR_FOut;SELC;2067;FTE-SIMECC17;REG1;newtechs_nonuc;SNW;2067;9852.82065025987
VAR_FOut;SELC;2068;FTE-SIMECC17;REG1;newtechs_nonuc;WNW;2046;9958.6046364657
VAR_FOut;SELC;2068;FTE-SIMECC17;REG1;newtechs_nonuc;WDW;2067;1991.72092729314
VAR_FOut;SELC;2069;FTE-SIMECC17;REG1;newtechs_nonuc;WDW;2067;2014.21402406324
VAR_FOut;SELC;2070;FTE-SIMECC17;REG1;newtechs_nonuc;WNW;2058;10108.9932713073
VAR_FOut;SELC;2071;FTE-SIMECC17;REG1;newtechs_nonuc;WNW;2050;10224.9428600642
VAR_FOut;SELC;2071;FTE-SIMECC17;REG1;newtechs_nonuc;WDW;2067;2044.98857201284
VAR_FOut;SELC;2072;FTE-SIMECC17;REG1;newtechs_nonuc;SNW;2033;10269.4468006068
VAR_FOut;SELC;2073;FTE-SIMECC17;REG1;newtechs_nonuc;WNW;2050;10285.8437676317
VAR_FOut;SELC;2074;FTE-SIMECC17;REG1;newtechs_nonuc;SNW;2041;10483.8377655554
VAR_FOut;SELC;2074;FTE-SIMECC17;REG1;newtechs_nonuc;WNW;2059;10483.8377655554
VAR_FOut;SELC;2075;FTE-SIMECC17;REG1;newtechs_nonuc;SNW;2052;10737.1928709317
VAR_FOut;SELC;2077;FTE-SIMECC17;REG1;newtechs_nonuc;SDN;2039;3382.41344385553
VAR_FOut;SELC;2077;FTE-SIMECC17;REG1;newtechs_nonuc;SDW;2039;3382.41344385553
