Attribute;Commodity;Period;Process;Region;Scenario;TimeSlice;Vintage;PV
VAR_FOut;ELCCO2;2017;ELCCC17;REG1;newtechs_nuc;SDN;2017;0.257544
VAR_FOut;ELCCO2;2017;ELCCC17;REG1;newtechs_nuc;SDW;2017;0.257544
VAR_FOut;ELCCO2;2017;ELCCC17;REG1;newtechs_nuc;SNN;2017;4.2924
VAR_FOut;ELCCO2;2017;ELCCC17;REG1;newtechs_nuc;SNW;2017;4.29239999999999
VAR_FOut;ELCCO2;2017;ELCCC17;REG1;newtechs_nuc;WDN;2017;0.171696
VAR_FOut;ELCCO2;2017;ELCCC17;REG1;newtechs_nuc;WDW;2017;0.171696
VAR_FOut;ELCCO2;2017;ELCCC17;REG1;newtechs_nuc;WNN;2017;4.2924
VAR_FOut;ELCCO2;2017;ELCCC17;REG1;newtechs_nuc;WNW;2017;4.29239999999999
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nuc;SDN;2017;0.406348411098438
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nuc;SDW;2017;0.40634841109844
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nuc;SNN;2017;4.2924
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nuc;SNW;2017;4.29240000000001
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nuc;WDN;2017;0.270898940732292
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nuc;WDW;2017;0.270898940732291
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nuc;WNN;2017;4.2924
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nuc;WNW;2017;4.2924
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nuc;SDN;2018;0.386316
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nuc;SDW;2018;0.386316
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nuc;SNN;2018;6.4386
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nuc;SNW;2018;6.4386
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nuc;WDN;2018;0.257544
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nuc;WDW;2018;0.257544
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nuc;WNN;2018;6.4386
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nuc;WNW;2018;6.4386
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nuc;SDN;2017;1.15265417553782
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nuc;SDW;2017;1.15265417553781
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nuc;SNN;2017;4.2924
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nuc;SNW;2017;4.2924
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nuc;WDN;2017;0.76843611702521
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nuc;WDW;2017;0.768436117025209
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nuc;WNN;2017;4.2924
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nuc;WNW;2017;4.2924
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nuc;SDN;2018;0.386316
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nuc;SDW;2018;0.386316
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nuc;SNN;2018;6.4386
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nuc;SNW;2018;6.4386
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nuc;WDN;2018;0.257544
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nuc;WDW;2018;0.257544
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nuc;WNN;2018;6.4386
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nuc;WNW;2018;6.4386
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nuc;SDN;2019;0.579474
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nuc;SDW;2019;0.579474
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nuc;SNN;2019;9.6579
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nuc;SNW;2019;9.6579
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nuc;WDN;2019;0.386316
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nuc;WDW;2019;0.386316
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nuc;WNN;2019;9.6579
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nuc;WNW;2019;9.6579
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nuc;SDN;2017;1.28772
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nuc;SDW;2017;1.28772
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nuc;SNN;2017;4.2924
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nuc;SNW;2017;4.2924
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nuc;WDN;2017;0.85848
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nuc;WDW;2017;0.85848
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nuc;WNN;2017;4.2924
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nuc;WNW;2017;4.2924
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nuc;SDN;2018;0.386316
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nuc;SDW;2018;0.386316
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nuc;SNN;2018;6.4386
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nuc;SNW;2018;6.4386
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nuc;WDN;2018;0.257544
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nuc;WDW;2018;0.257544
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nuc;WNN;2018;6.4386
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nuc;WNW;2018;6.4386
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nuc;SDN;2019;0.579474
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nuc;SDW;2019;0.579474
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nuc;SNN;2019;9.6579
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nuc;SNW;2019;9.6579
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nuc;WDN;2019;0.386316
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nuc;WDW;2019;0.386316
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nuc;WNN;2019;9.6579
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nuc;WNW;2019;9.6579
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nuc;SDN;2020;2.35415484575294
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nuc;SDW;2020;2.35415484575294
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nuc;SNN;2020;14.48685
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nuc;SNW;2020;14.48685
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nuc;WDN;2020;1.56943656383529
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nuc;WDW;2020;1.56943656383529
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nuc;WNN;2020;14.48685
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nuc;WNW;2020;14.48685
VAR_FOut;ELCCO2;2021;ELCCC17;REG1;newtechs_nuc;SDN;2017;1.28772
VAR_FOut;ELCCO2;2021;ELCCC17;REG1;newtechs_nuc;SDW;2017;1.28772
VAR_FOut;ELCCO2;2021;ELCCC17;REG1;newtechs_nuc;SNN;2017;4.2924
VAR_FOut;ELCCO2;2021;ELCCC17;REG1;newtechs_nuc;SNW;2017;4.2924
VAR_FOut;ELCCO2;2021;ELCCC17;REG1;newtechs_nuc;WDN;2017;0.85848
VAR_FOut;ELCCO2;2021;ELCCC17;REG1;newtechs_nuc;WDW;2017;0.85848
VAR_FOut;ELCCO2;2021;ELCCC17;REG1;newtechs_nuc;WNN;2017;4.2924
VAR_FOut;ELCCO2;2021;ELCCC17;REG1;newtechs_nuc;WNW;2017;4.2924
VAR_FOut;ELCCO2;2021;ELCCC17;REG1;newtechs_nuc;SDN;2018;0.386316
VAR_FOut;ELCCO2;2021;ELCCC17;REG1;newtechs_nuc;SDW;2018;0.386316
VAR_FOut;ELCCO2;2021;ELCCC17;REG1;newtechs_nuc;SNN;2018;6.4386
VAR_FOut;ELCCO2;2021;ELCCC17;REG1;newtechs_nuc;SNW;2018;6.4386
VAR_FOut;ELCCO2;2021;ELCCC17;REG1;newtechs_nuc;WDN;2018;0.257544
VAR_FOut;ELCCO2;2021;ELCCC17;REG1;newtechs_nuc;WDW;2018;0.257544
VAR_FOut;ELCCO2;2021;ELCCC17;REG1;newtechs_nuc;WNN;2018;6.4386
VAR_FOut;ELCCO2;2021;ELCCC17;REG1;newtechs_nuc;WNW;2018;6.4386
VAR_FOut;ELCCO2;2021;ELCCC17;REG1;newtechs_nuc;SDN;2019;0.579474
VAR_FOut;ELCCO2;2021;ELCCC17;REG1;newtechs_nuc;SDW;2019;0.579474
VAR_FOut;ELCCO2;2021;ELCCC17;REG1;newtechs_nuc;SNN;2019;9.6579
VAR_FOut;ELCCO2;2021;ELCCC17;REG1;newtechs_nuc;SNW;2019;9.6579
VAR_FOut;ELCCO2;2021;ELCCC17;REG1;newtechs_nuc;WDN;2019;0.386316
VAR_FOut;ELCCO2;2021;ELCCC17;REG1;newtechs_nuc;WDW;2019;0.386316
VAR_FOut;ELCCO2;2021;ELCCC17;REG1;newtechs_nuc;WNN;2019;9.6579
VAR_FOut;ELCCO2;2021;ELCCC17;REG1;newtechs_nuc;WNW;2019;9.6579
VAR_FOut;ELCCO2;2021;ELCCC17;REG1;newtechs_nuc;SDN;2020;2.47048656689127
VAR_FOut;ELCCO2;2021;ELCCC17;REG1;newtechs_nuc;SDW;2020;2.47048656689128
VAR_FOut;ELCCO2;2021;ELCCC17;REG1;newtechs_nuc;SNN;2020;14.48685
VAR_FOut;ELCCO2;2021;ELCCC17;REG1;newtechs_nuc;SNW;2020;14.48685
VAR_FOut;ELCCO2;2021;ELCCC17;REG1;newtechs_nuc;WDN;2020;1.64699104459418
VAR_FOut;ELCCO2;2021;ELCCC17;REG1;newtechs_nuc;WDW;2020;1.64699104459418
VAR_FOut;ELCCO2;2021;ELCCC17;REG1;newtechs_nuc;WNN;2020;14.48685
VAR_FOut;ELCCO2;2021;ELCCC17;REG1;newtechs_nuc;WNW;2020;14.48685
VAR_FOut;ELCCO2;2021;ELCCC17;REG1;newtechs_nuc;SDN;2021;0.678974945709289
VAR_FOut;ELCCO2;2021;ELCCC17;REG1;newtechs_nuc;SDW;2021;0.678974945709289
VAR_FOut;ELCCO2;2021;ELCCC17;REG1;newtechs_nuc;SNN;2021;11.3162490951548
VAR_FOut;ELCCO2;2021;ELCCC17;REG1;newtechs_nuc;SNW;2021;11.3162490951548
VAR_FOut;ELCCO2;2021;ELCCC17;REG1;newtechs_nuc;WDN;2021;0.452649963806193
