Attribute;Commodity;Period;Process;Region;Scenario;TimeSlice;Vintage;PV
VAR_FOut;SELC;2017;FTE-SIMECC17;REG1;newtechs_nuc;SDN;2017;58.3982345503748
VAR_FOut;SELC;2017;FTE-SIMECC17;REG1;newtechs_nuc;SDW;2017;58.3982345503769
VAR_FOut;SELC;2041;FTE-SIMECC17;REG1;newtechs_nuc;WDW;2034;4899.44288014087
VAR_FOut;SELC;2042;FTE-SIMECC17;REG1;newtechs_nuc;WDW;2034;4899.44288014087
VAR_FOut;SELC;2043;FTE-SIMECC17;REG1;newtechs_nuc;WDN;2024;113.665127064838
VAR_FOut;SELC;2043;FTE-SIMECC17;REG1;newtechs_nuc;WDW;2024;4899.44288014087
VAR_FOut;SELC;2044;FTE-SIMECC17;REG1;newtechs_nuc;WDW;2036;4899.44288014087
VAR_FOut;SELC;2044;FTE-SIMECC17;REG1;newtechs_nuc;SDW;2039;7349.16432021131
VAR_FOut;SELC;2045;FTE-SIMECC17;REG1;newtechs_nuc;WDW;2017;3544.36955552231
VAR_FOut;SELC;2045;FTE-SIMECC17;REG1;newtechs_nuc;SDW;2034;7349.16432021131
VAR_FOut;SELC;2047;FTE-SIMECC17;REG1;newtechs_nuc;WDN;2043;4549.04288014087
VAR_FOut;SELC;2047;FTE-SIMECC17;REG1;newtechs_nuc;SDN;2046;6823.56432021147
VAR_FOut;SELC;2048;FTE-SIMECC17;REG1;newtechs_nuc;SDW;2029;6035.16432021131
VAR_FOut;SELC;2049;FTE-SIMECC17;REG1;newtechs_nuc;WDW;2042;3235.04288014087
VAR_FOut;SELC;2049;FTE-SIMECC17;REG1;newtechs_nuc;SDW;2047;4852.56432021131
VAR_FOut;SELC;2049;FTE-SIMECC17;REG1;newtechs_nuc;SDN;2049;4852.56432021131
VAR_FOut;SELC;2050;FTE-SIMECC17;REG1;newtechs_nuc;SDW;2040;3078.66432021131
VAR_FOut;SELC;2050;FTE-SIMECC17;REG1;newtechs_nuc;SDN;2050;3078.66432021131
VAR_FOut;SELC;2051;FTE-SIMECC17;REG1;newtechs_nuc;SDN;2038;2392.83887548116
VAR_FOut;SELC;2051;FTE-SIMECC17;REG1;newtechs_nuc;SDW;2042;2392.83887548102
VAR_FOut;SELC;2051;FTE-SIMECC17;REG1;newtechs_nuc;WDW;2050;1595.22591698744
VAR_FOut;SELC;2052;FTE-SIMECC17;REG1;newtechs_nuc;SDW;2036;2396.55583431941
VAR_FOut;SELC;2052;FTE-SIMECC17;REG1;newtechs_nuc;WDW;2049;1597.70388954645
VAR_FOut;SELC;2052;FTE-SIMECC17;REG1;newtechs_nuc;SDN;2052;2396.55583431968
VAR_FOut;SELC;2053;FTE-SIMECC17;REG1;newtechs_nuc;WNW;2034;3351.8769546613
VAR_FOut;SELC;2053;FTE-SIMECC17;REG1;newtechs_nuc;SDN;2037;2398.0374357506
VAR_FOut;SELC;2053;FTE-SIMECC17;REG1;newtechs_nuc;WDN;2038;1598.69162383373
VAR_FOut;SELC;2053;FTE-SIMECC17;REG1;newtechs_nuc;SDW;2048;2398.0374357506
VAR_FOut;SELC;2054;FTE-SIMECC17;REG1;newtechs_nuc;SDN;2017;2399.07770189562
VAR_FOut;SELC;2054;FTE-SIMECC17;REG1;newtechs_nuc;WDN;2024;1599.38513459708
VAR_FOut;SELC;2054;FTE-SIMECC17;REG1;newtechs_nuc;SDW;2040;2399.07770189547
VAR_FOut;SELC;2055;FTE-SIMECC17;REG1;newtechs_nuc;SDW;2022;2401.91386367117
VAR_FOut;SELC;2055;FTE-SIMECC17;REG1;newtechs_nuc;WDW;2031;1601.27590911417
VAR_FOut;SELC;2055;FTE-SIMECC17;REG1;newtechs_nuc;SDN;2035;2401.91386367126
VAR_FOut;SELC;2055;FTE-SIMECC17;REG1;newtechs_nuc;WDN;2044;1601.27590911417
VAR_FOut;SELC;2055;FTE-SIMECC17;REG1;newtechs_nuc;WNW;2048;8006.37954557085
VAR_FOut;SELC;2056;FTE-SIMECC17;REG1;newtechs_nuc;WDW;2021;1603.52890223852
VAR_FOut;SELC;2056;FTE-SIMECC17;REG1;newtechs_nuc;SDN;2025;2405.29335335778
VAR_FOut;SELC;2056;FTE-SIMECC17;REG1;newtechs_nuc;WDN;2032;1603.52890223852
VAR_FOut;SELC;2056;FTE-SIMECC17;REG1;newtechs_nuc;SDW;2051;2405.2933533577
VAR_FOut;SELC;2057;FTE-SIMECC17;REG1;newtechs_nuc;SDW;2018;2408.01465196324
VAR_FOut;SELC;2057;FTE-SIMECC17;REG1;newtechs_nuc;SDN;2026;2408.01465196324
VAR_FOut;SELC;2058;FTE-SIMECC17;REG1;newtechs_nuc;SDW;2017;2411.53702419152
VAR_FOut;SELC;2058;FTE-SIMECC17;REG1;newtechs_nuc;WNW;2026;8038.45674730552
VAR_FOut;SELC;2058;FTE-SIMECC17;REG1;newtechs_nuc;SDN;2042;2411.53702419166
VAR_FOut;SELC;2059;FTE-SIMECC17;REG1;newtechs_nuc;SDN;2024;2415.97901274502
VAR_FOut;SELC;2059;FTE-SIMECC17;REG1;newtechs_nuc;SDW;2024;2415.97901274502
VAR_FOut;SELC;2059;FTE-SIMECC17;REG1;newtechs_nuc;WNW;2024;8053.26337581672
