"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?pa=00000000000000000000000000000000000000jg08o0000000008&c=00000000000000000000000g&ct=0&tl_id=1-A&vs=INTL.7-2-JPN-TST.A&cy=2015&vo=0&v=C&start=2010&end=2016"
"Tue Jul 31 2018 11:39:26 GMT-0500 (Central Daylight Time)"
"Source: U.S. Energy Information Administration"
,,,2010,2011,2012,2013,2014,2015,2016
"","Coal","1000 ST"
"","Consumption",""
"","Total Primary Coal",""
"","Total Primary Coal",""
"","Japan","1000 ST",195958.75101,189619.3662,197483.24574,209933.83719,210607.691062,210734.055676,-
"","Anthracite",""
"","Japan","1000 ST",-,-,-,6063.80731,5627.29255,6980.17429708,-
"","Metallurgical Coal",""
"","Japan","1000 ST",-,-,-,48424.9528191,47843.6973776,42441.3978153,-
"","Bituminous",""
"","Japan","1000 ST",-,-,-,144161.189278,143329.645697,148651.009503,-
"","Subbituminous",""
"","Japan","1000 ST",-,-,-,11263.0472632,13792.308734,12632.1612013,-
"","Lignite",""
"","Japan","1000 ST",-,-,-,20.8405193856,14.74670318,29.3128599085,-
"","Secondary Coal",""
"","Metallurgical Coke",""
"","Japan","1000 ST",47014.62381,42566.80296,43454.16251,43986.57824,46198.91441,44769.21834,- 
