"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?pa=000000000000000000000000000005vm&c=00000000000000000000000g&ct=0&ug=2&tl_id=2-A&vs=INTL.27-12-JPN-TJ.A&cy=2015&vo=0&v=H&start=2009&end=2017"
"Tue Jul 31 2018 12:53:37 GMT-0500 (Central Daylight Time)"
"Source: U.S. Energy Information Administration"
,,,2009,2010,2011,2012,2013,2014,2015,2016,2017
"","Electricity","Terajoules"
"","Generation",""
"","Nuclear",""
"","Japan","Terajoules",-,-,-,-,-,-,-,-,-
"","Renewables",""
"","Renewables",""
"","Japan","Terajoules",-,-,-,-,-,-,-,-,-
"","Hydroelectricity",""
"","Japan","Terajoules",-,-,-,-,-,-,-,-,-
"","Non-Hydroelectric Renewables",""
"","Non-Hydroelectric Renewables",""
"","Japan","Terajoules",-,-,-,-,-,-,-,-,-
"","Geothermal",""
"","Japan","Terajoules",-,-,-,-,-,-,-,-,-
"","Wind",""
"","Japan","Terajoules",-,-,-,-,-,-,-,-,-
"","Solar, Tide, Wave, Fuel Cell",""
"","Solar, Tide, Wave, Fuel Cell",""
"","Japan","Terajoules",-,-,-,-,-,-,-,-,-
"","Tide, Wave, Fuel Cell",""
"","Tide and Wave",""
"","Japan","Terajoules",-,-,-,-,-,-,-,-,-
"","Solar",""
"","Japan","Terajoules",-,-,-,-,-,-,-,-,-
"","Biomass and Waste",""
"","Japan","Terajoules",-,-,-,-,-,-,-,-,- 
