"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?pa=00000000000000000000000000000000000000jg0880000000008&c=00000000000000000000000g&ct=0&ug=2&tl_id=1-A&vs=INTL.7-2-JPN-TJ.A&cy=2015&vo=0&v=H&start=2009&end=2016"
"Tue Jul 31 2018 12:49:10 GMT-0500 (Central Daylight Time)"
"Source: U.S. Energy Information Administration"
,,,2009,2010,2011,2012,2013,2014,2015,2016
"","Coal","Terajoules"
"","Consumption",""
"","Total Primary Coal",""
"","Total Primary Coal",""
"","Japan","Terajoules",4510363.973,4841651.525,4681283.028,4875413.314,4363711.202,4398528.047,-,-
"","Anthracite",""
"","Japan","Terajoules",-,-,-,-,120276.373,121331.429,-,-
"","Metallurgical Coal",""
"","Japan","Terajoules",-,-,-,-,1233360.347,1242855.85,-,-
"","Bituminous",""
"","Japan","Terajoules",-,-,-,-,2785347.576,2807503.75,-,-
"","Subbituminous",""
"","Japan","Terajoules",-,-,-,-,224726.907,226837.019,-,-
"","Lignite",""
"","Japan","Terajoules",-,-,-,-,280.814,235.569,-,-
"","Secondary Coal",""
"","Metallurgical Coke",""
"","Japan","Terajoules",1128909.813,1254461.465,1135240.148,1158451.378,1164781.714,1222809.788,-,- 
