Attribute;Commodity;Period;Process;Region;Scenario;TimeSlice;Vintage;PV
VAR_FOut;H2;2037;FTE-EPEMH22;REG1;newtechs_nuc;SDN;2022;194.173255225886
VAR_FOut;H2;2037;FTE-EPEMH22;REG1;newtechs_nuc;WDN;2022;70.6084564457768
VAR_FOut;H2;2037;FTE-EPEMH22;REG1;newtechs_nuc;SNN;2036;706.084564457768
VAR_FOut;H2;2037;FTE-EPEMH22;REG1;newtechs_nuc;SNW;2036;706.084564457768
VAR_FOut;H2;2037;FTE-EPEMH22;REG1;newtechs_nuc;WNN;2036;706.084564457744
VAR_FOut;H2;2037;FTE-EPEMH22;REG1;newtechs_nuc;WNW;2036;706.084564457791
VAR_FOut;H2;2038;FTE-EPEMH22;REG1;newtechs_nuc;WNN;2022;2386.73410459028
VAR_FOut;H2;2038;FTE-EPEMH22;REG1;newtechs_nuc;SDW;2036;536.587610801199
VAR_FOut;H2;2038;FTE-EPEMH22;REG1;newtechs_nuc;WDW;2036;258.670383313294
VAR_FOut;H2;2038;FTE-EPEMH22;REG1;newtechs_nuc;WNW;2037;2386.73410459028
VAR_FOut;H2;2038;FTE-EPEMH22;REG1;newtechs_nuc;SDN;2038;716.020231377077
VAR_FOut;H2;2038;FTE-EPEMH22;REG1;newtechs_nuc;SNN;2038;2386.7341045903
VAR_FOut;H2;2038;FTE-EPEMH22;REG1;newtechs_nuc;SNW;2038;2386.73410459028
VAR_FOut;H2;2038;FTE-EPEMH22;REG1;newtechs_nuc;WDN;2038;477.34682091806
VAR_FOut;H2;2039;FTE-EPEMH22;REG1;newtechs_nuc;WNN;2022;4620.34778551123
VAR_FOut;H2;2039;FTE-EPEMH22;REG1;newtechs_nuc;SDN;2039;1386.10433565337
VAR_FOut;H2;2039;FTE-EPEMH22;REG1;newtechs_nuc;SNN;2039;4620.34778551126
VAR_FOut;H2;2039;FTE-EPEMH22;REG1;newtechs_nuc;SNW;2039;4620.34778551123
VAR_FOut;H2;2039;FTE-EPEMH22;REG1;newtechs_nuc;WDN;2039;924.069557102248
VAR_FOut;H2;2039;FTE-EPEMH22;REG1;newtechs_nuc;WNW;2039;4620.34778551123
VAR_FOut;H2;2040;FTE-EPEMH22;REG1;newtechs_nuc;SDN;2022;1770.9884502748
VAR_FOut;H2;2040;FTE-EPEMH22;REG1;newtechs_nuc;SNN;2022;5903.2948342493
VAR_FOut;H2;2040;FTE-EPEMH22;REG1;newtechs_nuc;SNW;2022;5903.29483424928
VAR_FOut;H2;2040;FTE-EPEMH22;REG1;newtechs_nuc;WDN;2039;1180.65896684987
VAR_FOut;H2;2040;FTE-EPEMH22;REG1;newtechs_nuc;WNN;2039;5903.29483424928
VAR_FOut;H2;2040;FTE-EPEMH22;REG1;newtechs_nuc;WNW;2039;5903.29483424929
VAR_FOut;H2;2041;FTE-EPEMH22;REG1;newtechs_nuc;SDN;2022;2487.18718991111
VAR_FOut;H2;2041;FTE-EPEMH22;REG1;newtechs_nuc;SNN;2022;8290.62396637025
VAR_FOut;H2;2041;FTE-EPEMH22;REG1;newtechs_nuc;SNW;2022;8290.62396637022
VAR_FOut;H2;2041;FTE-EPEMH22;REG1;newtechs_nuc;WDN;2022;1390.47736212284
VAR_FOut;H2;2041;FTE-EPEMH22;REG1;newtechs_nuc;WNN;2022;4598.97732439995
VAR_FOut;H2;2041;FTE-EPEMH22;REG1;newtechs_nuc;WNW;2022;6952.3868106142
VAR_FOut;H2;2042;FTE-EPEMH22;REG1;newtechs_nuc;SNN;2022;13693.6325021623
VAR_FOut;H2;2042;FTE-EPEMH22;REG1;newtechs_nuc;SNW;2022;7865.29176603904
VAR_FOut;H2;2042;FTE-EPEMH22;REG1;newtechs_nuc;WNN;2022;6531.1716843311
VAR_FOut;H2;2042;FTE-EPEMH22;REG1;newtechs_nuc;WNW;2022;7865.29176603902
VAR_FOut;H2;2043;FTE-EPEMH22;REG1;newtechs_nuc;SNN;2022;20875.9116315122
VAR_FOut;H2;2043;FTE-EPEMH22;REG1;newtechs_nuc;SNW;2022;2462.63599911153
VAR_FOut;H2;2043;FTE-EPEMH22;REG1;newtechs_nuc;WNN;2022;13136.1050905849
VAR_FOut;H2;2043;FTE-EPEMH22;REG1;newtechs_nuc;WNW;2022;2462.63599911153
VAR_FOut;H2;2044;FTE-EPEMH22;REG1;newtechs_nuc;SNN;2022;30226.2930147978
VAR_FOut;H2;2044;FTE-EPEMH22;REG1;newtechs_nuc;SNW;2022;994.781540450815
VAR_FOut;H2;2044;FTE-EPEMH22;REG1;newtechs_nuc;WNN;2022;19886.4297088109
VAR_FOut;H2;2044;FTE-EPEMH22;REG1;newtechs_nuc;WNW;2022;994.78154045076
VAR_FOut;H2;2045;FTE-EPEMH22;REG1;newtechs_nuc;SNN;2045;42151.2782081046
VAR_FOut;H2;2045;FTE-EPEMH22;REG1;newtechs_nuc;SNW;2045;1279.8974062554
VAR_FOut;H2;2045;FTE-EPEMH22;REG1;newtechs_nuc;WNN;2045;27783.9522952618
VAR_FOut;H2;2045;FTE-EPEMH22;REG1;newtechs_nuc;WNW;2045;1279.89740625532
VAR_FOut;H2;2046;FTE-EPEMH22;REG1;newtechs_nuc;SNN;2046;57049.2330991073
VAR_FOut;H2;2046;FTE-EPEMH22;REG1;newtechs_nuc;SNW;2046;492.497416515978
VAR_FOut;H2;2046;FTE-EPEMH22;REG1;newtechs_nuc;WNN;2046;41169.4144816104
VAR_FOut;H2;2046;FTE-EPEMH22;REG1;newtechs_nuc;WNW;2046;492.497416516666
VAR_FOut;H2;2047;FTE-EPEMH22;REG1;newtechs_nuc;SNN;2047;76416.5744574109
VAR_FOut;H2;2047;FTE-EPEMH22;REG1;newtechs_nuc;SNW;2047;7511.79717167451
VAR_FOut;H2;2047;FTE-EPEMH22;REG1;newtechs_nuc;WNN;2047;65973.1032542396
VAR_FOut;H2;2048;FTE-EPEMH22;REG1;newtechs_nuc;SNN;2048;101594.118223206
VAR_FOut;H2;2048;FTE-EPEMH22;REG1;newtechs_nuc;WNN;2048;101594.118223206
VAR_FOut;H2;2049;FTE-EPEMH22;REG1;newtechs_nuc;SNN;2049;129611.050591977
VAR_FOut;H2;2049;FTE-EPEMH22;REG1;newtechs_nuc;SNW;2049;4727.19819923034
VAR_FOut;H2;2049;FTE-EPEMH22;REG1;newtechs_nuc;WNN;2049;129611.050591977
VAR_FOut;H2;2050;FTE-EPEMH22;REG1;newtechs_nuc;SNN;2050;153192.049765977
VAR_FOut;H2;2050;FTE-EPEMH22;REG1;newtechs_nuc;SNW;2050;15601.3450688986
VAR_FOut;H2;2050;FTE-EPEMH22;REG1;newtechs_nuc;WNN;2050;153192.049765977
VAR_FOut;H2;2050;FTE-EPEMH22;REG1;newtechs_nuc;WNW;2050;4810.67207945315
VAR_FOut;H2;2051;FTE-EPEMH22;REG1;newtechs_nuc;SNN;2050;155033.803130769
VAR_FOut;H2;2051;FTE-EPEMH22;REG1;newtechs_nuc;SNW;2050;47516.7197326554
VAR_FOut;H2;2051;FTE-EPEMH22;REG1;newtechs_nuc;WNN;2050;155033.803130769
VAR_FOut;H2;2051;FTE-EPEMH22;REG1;newtechs_nuc;WNW;2051;3716.7197326555
VAR_FOut;H2;2052;FTE-EPEMH22;REG1;newtechs_nuc;SNN;2050;160822.945768799
VAR_FOut;H2;2052;FTE-EPEMH22;REG1;newtechs_nuc;SNW;2050;43800
VAR_FOut;H2;2052;FTE-EPEMH22;REG1;newtechs_nuc;WNN;2050;160822.945768799
VAR_FOut;H2;2053;FTE-EPEMH22;REG1;newtechs_nuc;SNN;2050;166665.104139117
VAR_FOut;H2;2053;FTE-EPEMH22;REG1;newtechs_nuc;SNW;2050;39012.3299205729
VAR_FOut;H2;2053;FTE-EPEMH22;REG1;newtechs_nuc;WNN;2050;166665.104139117
VAR_FOut;H2;2054;FTE-EPEMH22;REG1;newtechs_nuc;SNN;2050;172517.905001198
VAR_FOut;H2;2054;FTE-EPEMH22;REG1;newtechs_nuc;SNW;2050;32592.6073526878
VAR_FOut;H2;2054;FTE-EPEMH22;REG1;newtechs_nuc;WNN;2050;172517.905001198
VAR_FOut;H2;2055;FTE-EPEMH22;REG1;newtechs_nuc;SNN;2050;178328.02068664
VAR_FOut;H2;2055;FTE-EPEMH22;REG1;newtechs_nuc;SNW;2050;23413.6743649986
VAR_FOut;H2;2055;FTE-EPEMH22;REG1;newtechs_nuc;WNN;2050;178328.02068664
VAR_FOut;H2;2056;FTE-EPEMH22;REG1;newtechs_nuc;WNN;2050;184125.36942865
VAR_FOut;H2;2056;FTE-EPEMH22;REG1;newtechs_nuc;SNW;2051;14272.3812534759
VAR_FOut;H2;2056;FTE-EPEMH22;REG1;newtechs_nuc;SNN;2052;184125.36942865
VAR_FOut;H2;2057;FTE-EPEMH22;REG1;newtechs_nuc;SNN;2050;186911.275175641
VAR_FOut;H2;2057;FTE-EPEMH22;REG1;newtechs_nuc;SNW;2057;10016.3553876642
VAR_FOut;H2;2057;FTE-EPEMH22;REG1;newtechs_nuc;WNN;2057;186911.275175641
VAR_FOut;H2;2058;FTE-EPEMH22;REG1;newtechs_nuc;SNN;2050;189678.10783249
VAR_FOut;H2;2058;FTE-EPEMH22;REG1;newtechs_nuc;WNN;2052;189678.10783249
VAR_FOut;H2;2058;FTE-EPEMH22;REG1;newtechs_nuc;SNW;2053;5781.333332491
