Attribute;Commodity;Period;Process;Region;Scenario;TimeSlice;Vintage;PV
VAR_FOut;ELCCO2;2017;ELCCC17;REG1;newtechs_nonuc;SDN;2017;0.257544
VAR_FOut;ELCCO2;2017;ELCCC17;REG1;newtechs_nonuc;SDW;2017;0.257544
VAR_FOut;ELCCO2;2017;ELCCC17;REG1;newtechs_nonuc;SNN;2017;4.2924
VAR_FOut;ELCCO2;2017;ELCCC17;REG1;newtechs_nonuc;SNW;2017;4.29239999999999
VAR_FOut;ELCCO2;2017;ELCCC17;REG1;newtechs_nonuc;WDN;2017;0.171696
VAR_FOut;ELCCO2;2017;ELCCC17;REG1;newtechs_nonuc;WDW;2017;0.171696
VAR_FOut;ELCCO2;2017;ELCCC17;REG1;newtechs_nonuc;WNN;2017;4.2924
VAR_FOut;ELCCO2;2017;ELCCC17;REG1;newtechs_nonuc;WNW;2017;4.29239999999999
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nonuc;SDN;2017;0.414825861753643
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nonuc;SDW;2017;0.414825861753642
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nonuc;SNN;2017;4.2924
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nonuc;SNW;2017;4.29240000000001
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nonuc;WDN;2017;0.276550574502428
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nonuc;WDW;2017;0.276550574502428
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nonuc;WNN;2017;4.2924
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nonuc;WNW;2017;4.2924
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nonuc;SDN;2018;0.386316
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nonuc;SDW;2018;0.386316
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nonuc;SNN;2018;6.4386
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nonuc;SNW;2018;6.4386
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nonuc;WDN;2018;0.257544
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nonuc;WDW;2018;0.257544
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nonuc;WNN;2018;6.4386
VAR_FOut;ELCCO2;2018;ELCCC17;REG1;newtechs_nonuc;WNW;2018;6.4386
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nonuc;SDN;2017;1.1645226064551
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nonuc;SDW;2017;1.1645226064551
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nonuc;SNN;2017;4.2924
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nonuc;SNW;2017;4.2924
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nonuc;WDN;2017;0.776348404303401
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nonuc;WDW;2017;0.776348404303401
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nonuc;WNN;2017;4.2924
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nonuc;WNW;2017;4.2924
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nonuc;SDN;2018;0.386316
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nonuc;SDW;2018;0.386316
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nonuc;SNN;2018;6.4386
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nonuc;SNW;2018;6.4386
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nonuc;WDN;2018;0.257544
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nonuc;WDW;2018;0.257544
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nonuc;WNN;2018;6.4386
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nonuc;WNW;2018;6.4386
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nonuc;SDN;2019;0.579474
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nonuc;SDW;2019;0.579474
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nonuc;SNN;2019;9.6579
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nonuc;SNW;2019;9.6579
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nonuc;WDN;2019;0.386316
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nonuc;WDW;2019;0.386316
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nonuc;WNN;2019;9.6579
VAR_FOut;ELCCO2;2019;ELCCC17;REG1;newtechs_nonuc;WNW;2019;9.6579
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nonuc;SDN;2017;1.28772
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nonuc;SDW;2017;1.28772
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nonuc;SNN;2017;4.2924
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nonuc;SNW;2017;4.2924
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nonuc;WDN;2017;0.85848
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nonuc;WDW;2017;0.85848
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nonuc;WNN;2017;4.2924
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nonuc;WNW;2017;4.2924
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nonuc;SDN;2018;0.386316
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nonuc;SDW;2018;0.386316
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nonuc;SNN;2018;6.4386
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nonuc;SNW;2018;6.4386
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nonuc;WDN;2018;0.257544
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nonuc;WDW;2018;0.257544
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nonuc;WNN;2018;6.4386
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nonuc;WNW;2018;6.4386
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nonuc;SDN;2019;0.579474
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nonuc;SDW;2019;0.579474
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nonuc;SNN;2019;9.6579
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nonuc;SNW;2019;9.6579
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nonuc;WDN;2019;0.386316
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nonuc;WDW;2019;0.386316
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nonuc;WNN;2019;9.6579
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nonuc;WNW;2019;9.6579
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nonuc;SDN;2020;2.37077064903715
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nonuc;SDW;2020;2.37077064903714
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nonuc;SNN;2020;14.48685
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nonuc;SNW;2020;14.48685
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nonuc;WDN;2020;1.58051376602476
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nonuc;WDW;2020;1.58051376602476
VAR_FOut;ELCCO2;2020;ELCCC17;REG1;newtechs_nonuc;WNN;2020;14.48685
