Attribute;Period;Process;Region;Scenario;Vintage;PV
VAR_Cap;2036;ECALK22;REG1;newtechs_nonuc;-;0.860830415371339
VAR_Cap;2037;ECALK22;REG1;newtechs_nonuc;-;2.0219187841875
VAR_Cap;2038;ECALK22;REG1;newtechs_nonuc;-;2.76810391728321
VAR_Cap;2039;ECALK22;REG1;newtechs_nonuc;-;2.90473033571275
VAR_Cap;2040;ECALK22;REG1;newtechs_nonuc;-;2.90473033571275
VAR_Cap;2041;ECALK22;REG1;newtechs_nonuc;-;3.71770383378233
VAR_Cap;2042;ECALK22;REG1;newtechs_nonuc;-;5.83301498391703
VAR_Cap;2043;ECALK22;REG1;newtechs_nonuc;-;8.58291947909214
VAR_Cap;2044;ECALK22;REG1;newtechs_nonuc;-;12.1577953228198
VAR_Cap;2045;ECALK22;REG1;newtechs_nonuc;-;16.8051339196657
VAR_Cap;2046;ECALK22;REG1;newtechs_nonuc;-;16.8051339196657
VAR_Cap;2047;ECALK22;REG1;newtechs_nonuc;-;15.9443035042944
VAR_Cap;2048;ECALK22;REG1;newtechs_nonuc;-;14.7832151354782
VAR_Cap;2049;ECALK22;REG1;newtechs_nonuc;-;14.0370300023825
VAR_Cap;2050;ECALK22;REG1;newtechs_nonuc;-;13.900403583953
VAR_Cap;2051;ECALK22;REG1;newtechs_nonuc;-;13.900403583953
VAR_Cap;2052;ECALK22;REG1;newtechs_nonuc;-;13.0874300858834
VAR_Cap;2053;ECALK22;REG1;newtechs_nonuc;-;10.9721189357487
VAR_Cap;2054;ECALK22;REG1;newtechs_nonuc;-;8.22221444057358
VAR_Cap;2055;ECALK22;REG1;newtechs_nonuc;-;4.64733859684594
VAR_Cap;2034;ECPEM22;REG1;newtechs_nonuc;-;0.641585497957194
VAR_Cap;2035;ECPEM22;REG1;newtechs_nonuc;-;1.87255627722178
VAR_Cap;2036;ECPEM22;REG1;newtechs_nonuc;-;3.50922541147719
VAR_Cap;2037;ECPEM22;REG1;newtechs_nonuc;-;5.63217754314989
VAR_Cap;2038;ECPEM22;REG1;newtechs_nonuc;-;8.32183080609486
VAR_Cap;2039;ECPEM22;REG1;newtechs_nonuc;-;11.8183800479233
VAR_Cap;2040;ECPEM22;REG1;newtechs_nonuc;-;16.3638940623003
